,period,Spring,Spring
0,"arid_[-1.0, -0.8)",0.057390456,0.057390456
1,"arid_[-0.8, -0.6)",0.080404747,0.080404747
2,"arid_[-0.6, -0.4)",0.019432846,0.019432846
3,"arid_[-0.4, -0.2)",0.000391607,0.000391607
4,"arid_[-0.2, 0.0)",1.03E-05,1.03E-05
5,"arid_[0.0, 0.2)",1.03E-05,1.03E-05
6,"arid_[0.2, 0.4)",0.000515321,0.000515321
7,"arid_[0.4, 0.6)",0.027164901,0.027164901
8,"arid_[0.6, 0.8)",0.24350371,0.24350371
9,"arid_[0.8, 1.0)",0.571175725,0.571175725
10,"boreal_[-1.0, -0.8)",0.375206249,0.375206249
11,"boreal_[-0.8, -0.6)",0.321359553,0.321359553
12,"boreal_[-0.6, -0.4)",0.059535656,0.059535656
13,"boreal_[-0.4, -0.2)",0.002390159,0.002390159
14,"boreal_[-0.2, 0.0)",0,0
15,"boreal_[0.0, 0.2)",9.48E-06,9.48E-06
16,"boreal_[0.2, 0.4)",0.001519629,0.001519629
17,"boreal_[0.4, 0.6)",0.032370923,0.032370923
18,"boreal_[0.6, 0.8)",0.127744978,0.127744978
19,"boreal_[0.8, 1.0)",0.079863367,0.079863367
20,"equatorial_[-1.0, -0.8)",0.104432917,0.104432917
21,"equatorial_[-0.8, -0.6)",0.167003448,0.167003448
22,"equatorial_[-0.6, -0.4)",0.049106235,0.049106235
23,"equatorial_[-0.4, -0.2)",0.001640139,0.001640139
24,"equatorial_[-0.2, 0.0)",0,0
25,"equatorial_[0.0, 0.2)",9.69E-06,9.69E-06
26,"equatorial_[0.2, 0.4)",0.001793728,0.001793728
27,"equatorial_[0.4, 0.6)",0.054673198,0.054673198
28,"equatorial_[0.6, 0.8)",0.281145224,0.281145224
29,"equatorial_[0.8, 1.0)",0.340195425,0.340195425
30,"ocean_[-1.0, -0.8)",0.108855947,0.108855947
31,"ocean_[-0.8, -0.6)",0.203832199,0.203832199
32,"ocean_[-0.6, -0.4)",0.087395596,0.087395596
33,"ocean_[-0.4, -0.2)",0.000697164,0.000697164
34,"ocean_[-0.2, 0.0)",0,0
35,"ocean_[0.0, 0.2)",0,0
36,"ocean_[0.2, 0.4)",0.001394328,0.001394328
37,"ocean_[0.4, 0.6)",0.078507694,0.078507694
38,"ocean_[0.6, 0.8)",0.265368781,0.265368781
39,"ocean_[0.8, 1.0)",0.253948291,0.253948291
40,"polar_[-1.0, -0.8)",0.155485801,0.155485801
41,"polar_[-0.8, -0.6)",0.245075363,0.245075363
42,"polar_[-0.6, -0.4)",0.140433316,0.140433316
43,"polar_[-0.4, -0.2)",0.008300103,0.008300103
44,"polar_[-0.2, 0.0)",8.31E-05,8.31E-05
45,"polar_[0.0, 0.2)",8.50E-05,8.50E-05
46,"polar_[0.2, 0.4)",0.008105859,0.008105859
47,"polar_[0.4, 0.6)",0.116094239,0.116094239
48,"polar_[0.6, 0.8)",0.211508336,0.211508336
49,"polar_[0.8, 1.0)",0.114828899,0.114828899
50,"warm_temperate_[-1.0, -0.8)",0.124037292,0.124037292
51,"warm_temperate_[-0.8, -0.6)",0.177874429,0.177874429
52,"warm_temperate_[-0.6, -0.4)",0.036133623,0.036133623
53,"warm_temperate_[-0.4, -0.2)",0.000666109,0.000666109
54,"warm_temperate_[-0.2, 0.0)",0,0
55,"warm_temperate_[0.0, 0.2)",1.31E-05,1.31E-05
56,"warm_temperate_[0.2, 0.4)",0.000684605,0.000684605
57,"warm_temperate_[0.4, 0.6)",0.032819247,0.032819247
58,"warm_temperate_[0.6, 0.8)",0.258200737,0.258200737
59,"warm_temperate_[0.8, 1.0)",0.369570832,0.369570832
