,period,Summer,Summer
0,"arid_[-1.0, -0.8)",0.029834438,0.029834438
1,"arid_[-0.8, -0.6)",0.058256616,0.058256616
2,"arid_[-0.6, -0.4)",0.019120147,0.019120147
3,"arid_[-0.4, -0.2)",0.000784379,0.000784379
4,"arid_[-0.2, 0.0)",0,0
5,"arid_[0.0, 0.2)",1.03E-05,1.03E-05
6,"arid_[0.2, 0.4)",0.000942052,0.000942052
7,"arid_[0.4, 0.6)",0.033361656,0.033361656
8,"arid_[0.6, 0.8)",0.269891299,0.269891299
9,"arid_[0.8, 1.0)",0.587799069,0.587799069
10,"boreal_[-1.0, -0.8)",0.151358945,0.151358945
11,"boreal_[-0.8, -0.6)",0.21341763,0.21341763
12,"boreal_[-0.6, -0.4)",0.047344987,0.047344987
13,"boreal_[-0.4, -0.2)",0.00077714,0.00077714
14,"boreal_[-0.2, 0.0)",0,0
15,"boreal_[0.0, 0.2)",0,0
16,"boreal_[0.2, 0.4)",0.000720492,0.000720492
17,"boreal_[0.4, 0.6)",0.034153909,0.034153909
18,"boreal_[0.6, 0.8)",0.218568475,0.218568475
19,"boreal_[0.8, 1.0)",0.333658422,0.333658422
20,"equatorial_[-1.0, -0.8)",0.094955297,0.094955297
21,"equatorial_[-0.8, -0.6)",0.163595192,0.163595192
22,"equatorial_[-0.6, -0.4)",0.04791949,0.04791949
23,"equatorial_[-0.4, -0.2)",0.001252883,0.001252883
24,"equatorial_[-0.2, 0.0)",0,0
25,"equatorial_[0.0, 0.2)",0,0
26,"equatorial_[0.2, 0.4)",0.001441607,0.001441607
27,"equatorial_[0.4, 0.6)",0.053227271,0.053227271
28,"equatorial_[0.6, 0.8)",0.309819783,0.309819783
29,"equatorial_[0.8, 1.0)",0.327788477,0.327788477
30,"ocean_[-1.0, -0.8)",0.139472712,0.139472712
31,"ocean_[-0.8, -0.6)",0.171242752,0.171242752
32,"ocean_[-0.6, -0.4)",0.035638501,0.035638501
33,"ocean_[-0.4, -0.2)",0.002829049,0.002829049
34,"ocean_[-0.2, 0.0)",0,0
35,"ocean_[0.0, 0.2)",0,0
36,"ocean_[0.2, 0.4)",0,0
37,"ocean_[0.4, 0.6)",0.050433036,0.050433036
38,"ocean_[0.6, 0.8)",0.295749926,0.295749926
39,"ocean_[0.8, 1.0)",0.304634023,0.304634023
40,"polar_[-1.0, -0.8)",0.241375664,0.241375664
41,"polar_[-0.8, -0.6)",0.240114443,0.240114443
42,"polar_[-0.6, -0.4)",0.054444545,0.054444545
43,"polar_[-0.4, -0.2)",0.000984196,0.000984196
44,"polar_[-0.2, 0.0)",0,0
45,"polar_[0.0, 0.2)",0,0
46,"polar_[0.2, 0.4)",0.000784599,0.000784599
47,"polar_[0.4, 0.6)",0.03528078,0.03528078
48,"polar_[0.6, 0.8)",0.202977908,0.202977908
49,"polar_[0.8, 1.0)",0.224037866,0.224037866
50,"warm_temperate_[-1.0, -0.8)",0.06321045,0.06321045
51,"warm_temperate_[-0.8, -0.6)",0.103950978,0.103950978
52,"warm_temperate_[-0.6, -0.4)",0.026507345,0.026507345
53,"warm_temperate_[-0.4, -0.2)",0.000569617,0.000569617
54,"warm_temperate_[-0.2, 0.0)",0,0
55,"warm_temperate_[0.0, 0.2)",1.31E-05,1.31E-05
56,"warm_temperate_[0.2, 0.4)",0.000662007,0.000662007
57,"warm_temperate_[0.4, 0.6)",0.032152767,0.032152767
58,"warm_temperate_[0.6, 0.8)",0.260826015,0.260826015
59,"warm_temperate_[0.8, 1.0)",0.512107695,0.512107695
