,period,Winter,Winter
0,"arid_[-1.0, -0.8)",0.083970561,0.083970561
1,"arid_[-0.8, -0.6)",0.109158031,0.109158031
2,"arid_[-0.6, -0.4)",0.026340464,0.026340464
3,"arid_[-0.4, -0.2)",0.000871992,0.000871992
4,"arid_[-0.2, 0.0)",0,0
5,"arid_[0.0, 0.2)",0,0
6,"arid_[0.2, 0.4)",0.000930141,0.000930141
7,"arid_[0.4, 0.6)",0.03600493,0.03600493
8,"arid_[0.6, 0.8)",0.278784431,0.278784431
9,"arid_[0.8, 1.0)",0.463939449,0.463939449
10,"boreal_[-1.0, -0.8)",0.226048904,0.226048904
11,"boreal_[-0.8, -0.6)",0.308665921,0.308665921
12,"boreal_[-0.6, -0.4)",0.081440665,0.081440665
13,"boreal_[-0.4, -0.2)",0.004170161,0.004170161
14,"boreal_[-0.2, 0.0)",3.72E-05,3.72E-05
15,"boreal_[0.0, 0.2)",8.10E-06,8.10E-06
16,"boreal_[0.2, 0.4)",0.004238269,0.004238269
17,"boreal_[0.4, 0.6)",0.068929942,0.068929942
18,"boreal_[0.6, 0.8)",0.211140778,0.211140778
19,"boreal_[0.8, 1.0)",0.095320036,0.095320036
20,"equatorial_[-1.0, -0.8)",0.101164195,0.101164195
21,"equatorial_[-0.8, -0.6)",0.170869767,0.170869767
22,"equatorial_[-0.6, -0.4)",0.052701456,0.052701456
23,"equatorial_[-0.4, -0.2)",0.001679906,0.001679906
24,"equatorial_[-0.2, 0.0)",0,0
25,"equatorial_[0.0, 0.2)",0,0
26,"equatorial_[0.2, 0.4)",0.001569302,0.001569302
27,"equatorial_[0.4, 0.6)",0.054607853,0.054607853
28,"equatorial_[0.6, 0.8)",0.300988219,0.300988219
29,"equatorial_[0.8, 1.0)",0.316419303,0.316419303
30,"ocean_[-1.0, -0.8)",0.117403446,0.117403446
31,"ocean_[-0.8, -0.6)",0.181808078,0.181808078
32,"ocean_[-0.6, -0.4)",0.044769544,0.044769544
33,"ocean_[-0.4, -0.2)",0.008652627,0.008652627
34,"ocean_[-0.2, 0.0)",0,0
35,"ocean_[0.0, 0.2)",0,0
36,"ocean_[0.2, 0.4)",0.005314366,0.005314366
37,"ocean_[0.4, 0.6)",0.041545775,0.041545775
38,"ocean_[0.6, 0.8)",0.255362381,0.255362381
39,"ocean_[0.8, 1.0)",0.345143782,0.345143782
40,"polar_[-1.0, -0.8)",0.126657177,0.126657177
41,"polar_[-0.8, -0.6)",0.248821443,0.248821443
42,"polar_[-0.6, -0.4)",0.099425867,0.099425867
43,"polar_[-0.4, -0.2)",0.010194295,0.010194295
44,"polar_[-0.2, 0.0)",1.47E-05,1.47E-05
45,"polar_[0.0, 0.2)",6.55E-05,6.55E-05
46,"polar_[0.2, 0.4)",0.010383898,0.010383898
47,"polar_[0.4, 0.6)",0.101561775,0.101561775
48,"polar_[0.6, 0.8)",0.261704202,0.261704202
49,"polar_[0.8, 1.0)",0.141171164,0.141171164
50,"warm_temperate_[-1.0, -0.8)",0.118284715,0.118284715
51,"warm_temperate_[-0.8, -0.6)",0.203993899,0.203993899
52,"warm_temperate_[-0.6, -0.4)",0.046519494,0.046519494
53,"warm_temperate_[-0.4, -0.2)",0.000702602,0.000702602
54,"warm_temperate_[-0.2, 0.0)",0,0
55,"warm_temperate_[0.0, 0.2)",0,0
56,"warm_temperate_[0.2, 0.4)",0.000644515,0.000644515
57,"warm_temperate_[0.4, 0.6)",0.041605902,0.041605902
58,"warm_temperate_[0.6, 0.8)",0.25805805,0.25805805
59,"warm_temperate_[0.8, 1.0)",0.330190823,0.330190823
