,Climate_Zone_Grade,Change_Rate_per_Year,P_Value
0,"arid_[-1.0, -0.8)",0.05783359032817727,0.10139632858143986
1,"arid_[-0.8, -0.6)",0.09202621785274015,0.1029444298518618
2,"arid_[-0.6, -0.4)",0.05624298245577335,0.0045988431354287325
3,"arid_[-0.4, -0.2)",0.006313824175708667,0.007516964744875626
4,"arid_[-0.2, 0.0)",0.0,
5,"arid_[0.0, 0.2)",0.0,
6,"arid_[0.2, 0.4)",-0.0018035800380121084,0.5683563501036746
7,"arid_[0.4, 0.6)",0.08352843191598175,0.001291679623883742
8,"arid_[0.6, 0.8)",0.20490563527848557,0.07446549914619705
9,"arid_[0.8, 1.0)",-0.49904710196885943,0.003837927829343381
10,"boreal_[-1.0, -0.8)",0.04930127481428785,0.5577416393274319
11,"boreal_[-0.8, -0.6)",0.5089053683429277,6.39083658421236e-05
12,"boreal_[-0.6, -0.4)",0.06904417304103588,0.03114543933494968
13,"boreal_[-0.4, -0.2)",0.0015635927895872384,0.37774368863303687
14,"boreal_[-0.2, 0.0)",0.0,
15,"boreal_[0.0, 0.2)",0.0,
16,"boreal_[0.2, 0.4)",0.0002663670591284963,0.8887706582224397
17,"boreal_[0.4, 0.6)",-0.011479284359280917,0.7469753405244721
18,"boreal_[0.6, 0.8)",-0.1976264207544409,0.02866557519541696
19,"boreal_[0.8, 1.0)",-0.41997507093324576,9.622987796377213e-05
20,"equatorial_[-1.0, -0.8)",0.148414681256353,0.13138811969624492
21,"equatorial_[-0.8, -0.6)",0.09003925290551364,0.12718817518592387
22,"equatorial_[-0.6, -0.4)",0.025682485820309076,0.45190089335327466
23,"equatorial_[-0.4, -0.2)",0.005036366791505826,0.3510043300228217
24,"equatorial_[-0.2, 0.0)",-0.00028969318242408565,0.37008312228207363
25,"equatorial_[0.0, 0.2)",0.0,
26,"equatorial_[0.2, 0.4)",0.0028565590250792406,0.47792438192846265
27,"equatorial_[0.4, 0.6)",0.08043924322006513,0.06425588363977783
28,"equatorial_[0.6, 0.8)",-0.017126459558037925,0.8718060465875133
29,"equatorial_[0.8, 1.0)",-0.3350524362783663,0.016597899425054245
30,"ocean_[-1.0, -0.8)",-0.359526731339145,0.35641406041094215
31,"ocean_[-0.8, -0.6)",0.2635580264725811,0.6348698268060109
32,"ocean_[-0.6, -0.4)",-0.03811329372917754,0.8535405625494474
33,"ocean_[-0.4, -0.2)",-0.008456805178718916,0.5554454421055914
34,"ocean_[-0.2, 0.0)",0.0,
35,"ocean_[0.0, 0.2)",0.0,
36,"ocean_[0.2, 0.4)",-0.03081378593212668,0.7793495763474007
37,"ocean_[0.4, 0.6)",0.6130833265860394,0.029163373857343276
38,"ocean_[0.6, 0.8)",-0.6863085805331107,0.06705892031530442
39,"ocean_[0.8, 1.0)",0.24657784365365518,0.487314242384415
40,"polar_[-1.0, -0.8)",0.3365059947918992,0.09126986763726953
41,"polar_[-0.8, -0.6)",0.07905264194755374,0.5883477356988586
42,"polar_[-0.6, -0.4)",-0.308139326497576,0.0002979727255015277
43,"polar_[-0.4, -0.2)",-0.02017218991692838,0.013923806825421787
44,"polar_[-0.2, 0.0)",0.0,
45,"polar_[0.0, 0.2)",0.0,
46,"polar_[0.2, 0.4)",-0.02324547852757562,0.0016788049875000586
47,"polar_[0.4, 0.6)",-0.0644946836215997,0.09492766569233738
48,"polar_[0.6, 0.8)",0.24670391143866954,0.12040728189176443
49,"polar_[0.8, 1.0)",-0.2462108696144459,0.13312666280622995
50,"warm_temperate_[-1.0, -0.8)",-0.39837666093969526,0.0002716105077481689
51,"warm_temperate_[-0.8, -0.6)",-0.30717691622670384,7.585532231801527e-05
52,"warm_temperate_[-0.6, -0.4)",-0.0697481270932643,0.019285120913841124
53,"warm_temperate_[-0.4, -0.2)",-0.000490594169634753,0.909881453088424
54,"warm_temperate_[-0.2, 0.0)",-0.0005250555960672638,0.22286835013352704
55,"warm_temperate_[0.0, 0.2)",0.0,
56,"warm_temperate_[0.2, 0.4)",-0.0026220090339018572,0.28808340074430633
57,"warm_temperate_[0.4, 0.6)",-0.026950679123148427,0.3730002193925047
58,"warm_temperate_[0.6, 0.8)",0.5351409678191107,2.4805904757102165e-05
59,"warm_temperate_[0.8, 1.0)",0.27074907436330337,0.03909190542292281
