,Climate_Zone_Grade,Change_Rate_per_Year,P_Value
0,"arid_[-1.0, -0.8)",0.0005881718181825757,0.9914015544533493
1,"arid_[-0.8, -0.6)",0.23486121272727148,0.00042309272843464346
2,"arid_[-0.6, -0.4)",0.10252288454545327,0.0067223918879802235
3,"arid_[-0.4, -0.2)",0.003038039999999966,0.334017432795822
4,"arid_[-0.2, 0.0)",1.4002313448535728e-18,0.9999999999999969
5,"arid_[0.0, 0.2)",-0.0005171863636363707,0.11730680301423153
6,"arid_[0.2, 0.4)",0.0015444990909090639,0.511716327963212
7,"arid_[0.4, 0.6)",0.10313355454545312,0.010850102933051286
8,"arid_[0.6, 0.8)",0.2991348318181767,0.022804602710760746
9,"arid_[0.8, 1.0)",-0.7443060009090844,0.00017153165041437513
10,"boreal_[-1.0, -0.8)",-0.09632646454545216,0.5215516142845387
11,"boreal_[-0.8, -0.6)",0.20840213818181552,0.017199146357047737
12,"boreal_[-0.6, -0.4)",0.1228704236363626,0.05652462209357901
13,"boreal_[-0.4, -0.2)",0.013091179090909011,0.16604332342243439
14,"boreal_[-0.2, 0.0)",0.0,
15,"boreal_[0.0, 0.2)",-6.845454545454322e-05,0.777492336033242
16,"boreal_[0.2, 0.4)",0.004134953636363664,0.42924645000539685
17,"boreal_[0.4, 0.6)",-0.13159123727272645,0.008686445850229908
18,"boreal_[0.6, 0.8)",-0.2323246427272726,0.04564748102303261
19,"boreal_[0.8, 1.0)",0.11181212545454373,0.20151597153775708
20,"equatorial_[-1.0, -0.8)",-0.009335650000002072,0.8764949018883679
21,"equatorial_[-0.8, -0.6)",-0.06530659272727243,0.25159668818914616
22,"equatorial_[-0.6, -0.4)",0.1344394227272718,0.0007511897129306036
23,"equatorial_[-0.4, -0.2)",0.011126629090909071,0.061367909725408794
24,"equatorial_[-0.2, 0.0)",0.0,
25,"equatorial_[0.0, 0.2)",9.686272727272724e-05,0.769874999892135
26,"equatorial_[0.2, 0.4)",0.0032466545454545664,0.33807213520334706
27,"equatorial_[0.4, 0.6)",0.21456300727272642,0.0007473970537718907
28,"equatorial_[0.6, 0.8)",0.1372582836363623,0.01326577359866227
29,"equatorial_[0.8, 1.0)",-0.4260886163636332,0.0006715523213960337
30,"ocean_[-1.0, -0.8)",-0.06904529818182085,0.7778759709856431
31,"ocean_[-0.8, -0.6)",1.0554482263636225,0.023702503801385305
32,"ocean_[-0.6, -0.4)",-0.7563865318181737,0.008645023910011878
33,"ocean_[-0.4, -0.2)",9.437513238480737e-17,0.9999999999999969
34,"ocean_[-0.2, 0.0)",0.0,
35,"ocean_[0.0, 0.2)",0.0,
36,"ocean_[0.2, 0.4)",0.04182982909090871,0.1678506560570748
37,"ocean_[0.4, 0.6)",-0.13139245454545206,0.6870418439991077
38,"ocean_[0.6, 0.8)",0.07519004727272444,0.9108671254662757
39,"ocean_[0.8, 1.0)",-0.21564382818181071,0.6316588404020583
40,"polar_[-1.0, -0.8)",0.16700949090908804,0.0811376004173774
41,"polar_[-0.8, -0.6)",0.07842463090908768,0.4981623407191561
42,"polar_[-0.6, -0.4)",0.2327028036363604,0.04092234588287292
43,"polar_[-0.4, -0.2)",-0.02313135999999966,0.15923938656589812
44,"polar_[-0.2, 0.0)",-0.0015414927272727184,0.36256254195007864
45,"polar_[0.0, 0.2)",-0.0013678336363636308,0.15903407426071137
46,"polar_[0.2, 0.4)",-0.03558921909090893,0.0009605239358825427
47,"polar_[0.4, 0.6)",-0.3067112754545409,0.008491029846057834
48,"polar_[0.6, 0.8)",-0.26575241272726957,0.0027635499460281865
49,"polar_[0.8, 1.0)",0.15595665636363537,0.0360486944164314
50,"warm_temperate_[-1.0, -0.8)",0.2954915590909051,0.019746264909337088
51,"warm_temperate_[-0.8, -0.6)",-0.14991097999999944,0.11495906272632543
52,"warm_temperate_[-0.6, -0.4)",0.03320377454545456,0.3685047609089659
53,"warm_temperate_[-0.4, -0.2)",0.0017242618181818163,0.5085208313201017
54,"warm_temperate_[-0.2, 0.0)",0.0,
55,"warm_temperate_[0.0, 0.2)",-0.0005250545454545364,0.22286835013352255
56,"warm_temperate_[0.2, 0.4)",0.004013663636363654,0.21169174591644366
57,"warm_temperate_[0.4, 0.6)",0.029452691818181817,0.20915889561581238
58,"warm_temperate_[0.6, 0.8)",-0.39586780454545084,0.0009490754970395349
59,"warm_temperate_[0.8, 1.0)",0.18241789181817936,0.12231513772505258
