,Climate_Zone_Grade,Change_Rate_per_Year,P_Value
0,"arid_[-1.0, -0.8)",0.1045670900018222,0.0005491122090664568
1,"arid_[-0.8, -0.6)",0.1924845385903633,0.0038571780569488
2,"arid_[-0.6, -0.4)",0.08625424053692746,0.0022057741683042245
3,"arid_[-0.4, -0.2)",0.010112212637989936,7.004682106886066e-05
4,"arid_[-0.2, 0.0)",0.0,
5,"arid_[0.0, 0.2)",1.400231604324818e-18,0.9999999999999969
6,"arid_[0.2, 0.4)",0.012511494455521159,0.01640916576360743
7,"arid_[0.4, 0.6)",0.14516322762876804,5.263089682253661e-05
8,"arid_[0.6, 0.8)",0.31669840600769117,9.315542642112191e-05
9,"arid_[0.8, 1.0)",-0.8677912098590885,2.095940210609744e-06
10,"boreal_[-1.0, -0.8)",0.19695944890044556,0.2676538209254812
11,"boreal_[-0.8, -0.6)",0.5242199366888873,0.0019007558612162674
12,"boreal_[-0.6, -0.4)",0.04509232891537645,0.31665926858692506
13,"boreal_[-0.4, -0.2)",-0.0023506481263770055,0.35652716189378375
14,"boreal_[-0.2, 0.0)",0.0,
15,"boreal_[0.0, 0.2)",0.0,
16,"boreal_[0.2, 0.4)",-0.001514727016832245,0.5499564029371216
17,"boreal_[0.4, 0.6)",-0.03366199281076097,0.15163946597773764
18,"boreal_[0.6, 0.8)",-0.09668686000969748,0.3876675640782834
19,"boreal_[0.8, 1.0)",-0.6320574865410437,0.0034737687148166554
20,"equatorial_[-1.0, -0.8)",0.08992604246983692,0.14197158172272437
21,"equatorial_[-0.8, -0.6)",-0.01955926899260378,0.8186043550697146
22,"equatorial_[-0.6, -0.4)",0.10228583757517448,0.0009232808655073614
23,"equatorial_[-0.4, -0.2)",0.014069107241308724,0.007261817536306992
24,"equatorial_[-0.2, 0.0)",0.0,
25,"equatorial_[0.0, 0.2)",0.0,
26,"equatorial_[0.2, 0.4)",0.016172908526943794,0.006899545756152356
27,"equatorial_[0.4, 0.6)",0.17033545915247122,0.00031847582251622644
28,"equatorial_[0.6, 0.8)",-0.04874278510450976,0.6323480108716011
29,"equatorial_[0.8, 1.0)",-0.32448730086862504,0.021285567678585474
30,"ocean_[-1.0, -0.8)",-0.1974088255115537,0.5270283660912112
31,"ocean_[-0.8, -0.6)",0.07772105909839436,0.8327016486080263
32,"ocean_[-0.6, -0.4)",-0.08018593880610042,0.6728178250161174
33,"ocean_[-0.4, -0.2)",-0.14145247448504103,0.11730680301423348
34,"ocean_[-0.2, 0.0)",0.0,
35,"ocean_[0.0, 0.2)",0.0,
36,"ocean_[0.2, 0.4)",0.0,
37,"ocean_[0.4, 0.6)",-0.06638876759561949,0.7024201824709437
38,"ocean_[0.6, 0.8)",-0.3221931803878214,0.6623154805146341
39,"ocean_[0.8, 1.0)",0.7299081276877388,0.22247824592830442
40,"polar_[-1.0, -0.8)",-0.4232821105975445,0.004702321175580696
41,"polar_[-0.8, -0.6)",0.13114403708762798,0.19780464813562953
42,"polar_[-0.6, -0.4)",0.09474519374244902,0.19522651495903376
43,"polar_[-0.4, -0.2)",0.0016516607153944174,0.8317267242139338
44,"polar_[-0.2, 0.0)",0.0,
45,"polar_[0.0, 0.2)",0.0,
46,"polar_[0.2, 0.4)",-0.004728007856454729,0.3973186412141201
47,"polar_[0.4, 0.6)",0.13566867112379294,0.03191960638837895
48,"polar_[0.6, 0.8)",0.32516139064505645,0.014970835882450925
49,"polar_[0.8, 1.0)",-0.2603608348603232,0.07385951404434184
50,"warm_temperate_[-1.0, -0.8)",-0.3276692464839632,0.0019659404145153576
51,"warm_temperate_[-0.8, -0.6)",-0.1128563315366829,0.09139694592386788
52,"warm_temperate_[-0.6, -0.4)",0.0004951761197075424,0.9844222739892552
53,"warm_temperate_[-0.4, -0.2)",0.006004540783578591,0.027645447190106417
54,"warm_temperate_[-0.2, 0.0)",0.0,
55,"warm_temperate_[0.0, 0.2)",-0.0005250555960672638,0.22286835013352704
56,"warm_temperate_[0.2, 0.4)",-0.0011941415467385673,0.6998225330672599
57,"warm_temperate_[0.4, 0.6)",0.036471991051383004,0.20612661670253193
58,"warm_temperate_[0.6, 0.8)",0.4875147040923152,2.9935708273201475e-05
59,"warm_temperate_[0.8, 1.0)",-0.08824163688353377,0.4286071106209405
