,Climate_Zone_Grade,Change_Rate_per_Year,P_Value
0,"arid_[-1.0, -0.8)",0.04176168165588136,0.34465941932558175
1,"arid_[-0.8, -0.6)",0.1200680761410524,0.03387717068314175
2,"arid_[-0.6, -0.4)",0.18206413525886728,0.00021283541142759667
3,"arid_[-0.4, -0.2)",0.010338179120364359,0.0006982167594060548
4,"arid_[-0.2, 0.0)",0.0,
5,"arid_[0.0, 0.2)",0.0,
6,"arid_[0.2, 0.4)",0.0131832343722257,0.002775919104945253
7,"arid_[0.4, 0.6)",0.11244387446932003,0.0006961986307057253
8,"arid_[0.6, 0.8)",-0.390968909369541,0.007399617047699345
9,"arid_[0.8, 1.0)",-0.08889027164817563,0.5693382162515928
10,"boreal_[-1.0, -0.8)",-0.08180415622201301,0.20776124382029154
11,"boreal_[-0.8, -0.6)",0.19050655196293803,0.0989630871282789
12,"boreal_[-0.6, -0.4)",0.08427960029137993,0.013007195278639373
13,"boreal_[-0.4, -0.2)",0.003771976510261464,0.5301051198350015
14,"boreal_[-0.2, 0.0)",0.0006981085124473103,0.06004440501010557
15,"boreal_[0.0, 0.2)",0.00020952709022292932,0.26733927741887126
16,"boreal_[0.2, 0.4)",0.0052239419008426385,0.5509029851693126
17,"boreal_[0.4, 0.6)",0.04768690601565932,0.08689408142856189
18,"boreal_[0.6, 0.8)",-0.21131802506314054,0.007095121817601611
19,"boreal_[0.8, 1.0)",-0.03925443099860072,0.32352502266555383
20,"equatorial_[-1.0, -0.8)",-0.3231008182744845,0.00016223553672514596
21,"equatorial_[-0.8, -0.6)",-0.09924225448530982,0.19197109862089215
22,"equatorial_[-0.6, -0.4)",0.1321078808503111,0.010357507066158555
23,"equatorial_[-0.4, -0.2)",0.012507642484678118,0.11880376961835948
24,"equatorial_[-0.2, 0.0)",0.0,
25,"equatorial_[0.0, 0.2)",0.0,
26,"equatorial_[0.2, 0.4)",0.01132393604155903,0.1492599232275257
27,"equatorial_[0.4, 0.6)",0.21976601349718825,0.0005378166986612949
28,"equatorial_[0.6, 0.8)",0.48144639076078655,7.245397086656937e-05
29,"equatorial_[0.8, 1.0)",-0.43480879087473,0.02106300130334287
30,"ocean_[-1.0, -0.8)",-0.6664304447803067,0.13838875002461476
31,"ocean_[-0.8, -0.6)",1.0409700173682708,0.01601719774842084
32,"ocean_[-0.6, -0.4)",-0.27395439148826595,0.255941930002049
33,"ocean_[-0.4, -0.2)",0.1191998120656951,0.026994978196975168
34,"ocean_[-0.2, 0.0)",0.0,
35,"ocean_[0.0, 0.2)",0.0,
36,"ocean_[0.2, 0.4)",0.1489457650697185,0.0026529607858187094
37,"ocean_[0.4, 0.6)",-0.4306633034385775,0.03975571053281408
38,"ocean_[0.6, 0.8)",0.7853145024342577,0.39432080280922066
39,"ocean_[0.8, 1.0)",-0.7233819572307941,0.21586017255080875
40,"polar_[-1.0, -0.8)",0.13869681620263635,0.12358975171173253
41,"polar_[-0.8, -0.6)",-0.17643936801527757,0.10488907884051894
42,"polar_[-0.6, -0.4)",0.027441416641384945,0.5463683074208394
43,"polar_[-0.4, -0.2)",-0.02608179208615856,0.01251395295557769
44,"polar_[-0.2, 0.0)",-0.0005880499552534445,0.2228683501335244
45,"polar_[0.0, 0.2)",-0.0007880119795209098,0.3004541095474213
46,"polar_[0.2, 0.4)",-0.024148327479263966,0.09398988627007755
47,"polar_[0.4, 0.6)",-0.040666525099897294,0.3723467868462229
48,"polar_[0.6, 0.8)",0.11442237249363554,0.03749742641406826
49,"polar_[0.8, 1.0)",-0.011848530722284936,0.9020453238092424
50,"warm_temperate_[-1.0, -0.8)",-0.2972316518993372,0.012127032524754446
51,"warm_temperate_[-0.8, -0.6)",-0.2708701962436418,0.007952096003912822
52,"warm_temperate_[-0.6, -0.4)",0.1034643455765549,0.0042679248768724325
53,"warm_temperate_[-0.4, -0.2)",-0.003052986864038165,0.45020765302110655
54,"warm_temperate_[-0.2, 0.0)",0.0,
55,"warm_temperate_[0.0, 0.2)",0.0,
56,"warm_temperate_[0.2, 0.4)",0.00224771848990196,0.545718250833306
57,"warm_temperate_[0.4, 0.6)",0.09115815398697717,0.06636733134817843
58,"warm_temperate_[0.6, 0.8)",0.2833359289560234,0.04697961416473171
59,"warm_temperate_[0.8, 1.0)",0.09094868799755779,0.2927404887904628
