,period,Autumn,Autumn
0,"arid_[1.0, 2.0)",0.276935629,0.276935629
1,"arid_[2.0, 3.0)",0.116538455,0.116538455
2,"arid_[3.0, 6.0)",0.153095757,0.153095757
3,"arid_[6.0, 12.0)",0.21181756,0.21181756
4,"arid_[12.0, 18.0)",0.090116071,0.090116071
5,"arid_[18.0, 24.0)",0.040702647,0.040702647
6,"arid_[24.0, 48.0)",0.11079388,0.11079388
7,"boreal_[1.0, 2.0)",0.175399676,0.175399676
8,"boreal_[2.0, 3.0)",0.074767743,0.074767743
9,"boreal_[3.0, 6.0)",0.136644981,0.136644981
10,"boreal_[6.0, 12.0)",0.143751107,0.143751107
11,"boreal_[12.0, 18.0)",0.098126736,0.098126736
12,"boreal_[18.0, 24.0)",0.068695596,0.068695596
13,"boreal_[24.0, 48.0)",0.30261416,0.30261416
14,"equatorial_[1.0, 2.0)",0.244698947,0.244698947
15,"equatorial_[2.0, 3.0)",0.091124537,0.091124537
16,"equatorial_[3.0, 6.0)",0.133759973,0.133759973
17,"equatorial_[6.0, 12.0)",0.16897394,0.16897394
18,"equatorial_[12.0, 18.0)",0.086518935,0.086518935
19,"equatorial_[18.0, 24.0)",0.060730941,0.060730941
20,"equatorial_[24.0, 48.0)",0.214192727,0.214192727
21,"ocean_[1.0, 2.0)",0.146780994,0.146780994
22,"ocean_[2.0, 3.0)",0.17619605,0.17619605
23,"ocean_[3.0, 6.0)",0.243748161,0.243748161
24,"ocean_[6.0, 12.0)",0.15447316,0.15447316
25,"ocean_[12.0, 18.0)",0.089786915,0.089786915
26,"ocean_[18.0, 24.0)",0.056231712,0.056231712
27,"ocean_[24.0, 48.0)",0.132783009,0.132783009
28,"polar_[1.0, 2.0)",0.131344432,0.131344432
29,"polar_[2.0, 3.0)",0.076639142,0.076639142
30,"polar_[3.0, 6.0)",0.154336732,0.154336732
31,"polar_[6.0, 12.0)",0.175749336,0.175749336
32,"polar_[12.0, 18.0)",0.100006746,0.100006746
33,"polar_[18.0, 24.0)",0.077475808,0.077475808
34,"polar_[24.0, 48.0)",0.284447804,0.284447804
35,"warm_temperate_[1.0, 2.0)",0.269794668,0.269794668
36,"warm_temperate_[2.0, 3.0)",0.102895552,0.102895552
37,"warm_temperate_[3.0, 6.0)",0.14883292,0.14883292
38,"warm_temperate_[6.0, 12.0)",0.135327989,0.135327989
39,"warm_temperate_[12.0, 18.0)",0.073970226,0.073970226
40,"warm_temperate_[18.0, 24.0)",0.057193146,0.057193146
41,"warm_temperate_[24.0, 48.0)",0.211985498,0.211985498
