,period,Spring,Spring
0,"arid_[1.0, 2.0)",0.288365201,0.288365201
1,"arid_[2.0, 3.0)",0.116387736,0.116387736
2,"arid_[3.0, 6.0)",0.192789805,0.192789805
3,"arid_[6.0, 12.0)",0.175471178,0.175471178
4,"arid_[12.0, 18.0)",0.072448613,0.072448613
5,"arid_[18.0, 24.0)",0.040663116,0.040663116
6,"arid_[24.0, 48.0)",0.11387435,0.11387435
7,"boreal_[1.0, 2.0)",0.228780077,0.228780077
8,"boreal_[2.0, 3.0)",0.084578829,0.084578829
9,"boreal_[3.0, 6.0)",0.126268235,0.126268235
10,"boreal_[6.0, 12.0)",0.138695653,0.138695653
11,"boreal_[12.0, 18.0)",0.074110308,0.074110308
12,"boreal_[18.0, 24.0)",0.065753562,0.065753562
13,"boreal_[24.0, 48.0)",0.281813335,0.281813335
14,"equatorial_[1.0, 2.0)",0.254479297,0.254479297
15,"equatorial_[2.0, 3.0)",0.091513595,0.091513595
16,"equatorial_[3.0, 6.0)",0.136787437,0.136787437
17,"equatorial_[6.0, 12.0)",0.130803697,0.130803697
18,"equatorial_[12.0, 18.0)",0.08176353,0.08176353
19,"equatorial_[18.0, 24.0)",0.064107967,0.064107967
20,"equatorial_[24.0, 48.0)",0.240544476,0.240544476
21,"ocean_[1.0, 2.0)",0.218607786,0.218607786
22,"ocean_[2.0, 3.0)",0.095832657,0.095832657
23,"ocean_[3.0, 6.0)",0.188200299,0.188200299
24,"ocean_[6.0, 12.0)",0.124461713,0.124461713
25,"ocean_[12.0, 18.0)",0.086873902,0.086873902
26,"ocean_[18.0, 24.0)",0.053579964,0.053579964
27,"ocean_[24.0, 48.0)",0.232443678,0.232443678
28,"polar_[1.0, 2.0)",0.18531402,0.18531402
29,"polar_[2.0, 3.0)",0.070794016,0.070794016
30,"polar_[3.0, 6.0)",0.133061314,0.133061314
31,"polar_[6.0, 12.0)",0.149553995,0.149553995
32,"polar_[12.0, 18.0)",0.103195755,0.103195755
33,"polar_[18.0, 24.0)",0.067336183,0.067336183
34,"polar_[24.0, 48.0)",0.290744718,0.290744718
35,"warm_temperate_[1.0, 2.0)",0.280313704,0.280313704
36,"warm_temperate_[2.0, 3.0)",0.105754382,0.105754382
37,"warm_temperate_[3.0, 6.0)",0.136427338,0.136427338
38,"warm_temperate_[6.0, 12.0)",0.125113185,0.125113185
39,"warm_temperate_[12.0, 18.0)",0.073735836,0.073735836
40,"warm_temperate_[18.0, 24.0)",0.055401215,0.055401215
41,"warm_temperate_[24.0, 48.0)",0.22325434,0.22325434
