,period,Winter,Winter
0,"arid_[1.0, 2.0)",0.257263595,0.257263595
1,"arid_[2.0, 3.0)",0.139955463,0.139955463
2,"arid_[3.0, 6.0)",0.177749437,0.177749437
3,"arid_[6.0, 12.0)",0.144151942,0.144151942
4,"arid_[12.0, 18.0)",0.073726801,0.073726801
5,"arid_[18.0, 24.0)",0.052804306,0.052804306
6,"arid_[24.0, 48.0)",0.154348457,0.154348457
7,"boreal_[1.0, 2.0)",0.179537821,0.179537821
8,"boreal_[2.0, 3.0)",0.085681628,0.085681628
9,"boreal_[3.0, 6.0)",0.126647216,0.126647216
10,"boreal_[6.0, 12.0)",0.137814712,0.137814712
11,"boreal_[12.0, 18.0)",0.096624402,0.096624402
12,"boreal_[18.0, 24.0)",0.081228812,0.081228812
13,"boreal_[24.0, 48.0)",0.292465408,0.292465408
14,"equatorial_[1.0, 2.0)",0.246107512,0.246107512
15,"equatorial_[2.0, 3.0)",0.107033321,0.107033321
16,"equatorial_[3.0, 6.0)",0.137842765,0.137842765
17,"equatorial_[6.0, 12.0)",0.117946693,0.117946693
18,"equatorial_[12.0, 18.0)",0.086379276,0.086379276
19,"equatorial_[18.0, 24.0)",0.060333427,0.060333427
20,"equatorial_[24.0, 48.0)",0.244357007,0.244357007
21,"ocean_[1.0, 2.0)",0.256339373,0.256339373
22,"ocean_[2.0, 3.0)",0.086098196,0.086098196
23,"ocean_[3.0, 6.0)",0.10907154,0.10907154
24,"ocean_[6.0, 12.0)",0.161582779,0.161582779
25,"ocean_[12.0, 18.0)",0.091521525,0.091521525
26,"ocean_[18.0, 24.0)",0.067979852,0.067979852
27,"ocean_[24.0, 48.0)",0.227406735,0.227406735
28,"polar_[1.0, 2.0)",0.179174664,0.179174664
29,"polar_[2.0, 3.0)",0.083455967,0.083455967
30,"polar_[3.0, 6.0)",0.115654179,0.115654179
31,"polar_[6.0, 12.0)",0.140917855,0.140917855
32,"polar_[12.0, 18.0)",0.08891139,0.08891139
33,"polar_[18.0, 24.0)",0.080967006,0.080967006
34,"polar_[24.0, 48.0)",0.31091894,0.31091894
35,"warm_temperate_[1.0, 2.0)",0.261848145,0.261848145
36,"warm_temperate_[2.0, 3.0)",0.108786842,0.108786842
37,"warm_temperate_[3.0, 6.0)",0.134652958,0.134652958
38,"warm_temperate_[6.0, 12.0)",0.108037411,0.108037411
39,"warm_temperate_[12.0, 18.0)",0.075062744,0.075062744
40,"warm_temperate_[18.0, 24.0)",0.065260604,0.065260604
41,"warm_temperate_[24.0, 48.0)",0.246351298,0.246351298
