,Climate_Zone_Grade,Change_Rate_per_Year,P_Value
0,"arid_[1.0, 2.0)",0.1618971841762143,0.11091725095512874
1,"arid_[2.0, 3.0)",-0.10899790002931506,0.021875892770110057
2,"arid_[3.0, 6.0)",-0.29489636305410505,0.0036973922702448134
3,"arid_[6.0, 12.0)",0.09479530655582104,0.12939831337455807
4,"arid_[12.0, 18.0)",0.0741650716985261,0.2661658109897738
5,"arid_[18.0, 24.0)",0.07860361003827411,0.01834244868704062
6,"arid_[24.0, 48.0)",-0.005566909385415226,0.9084399695163777
7,"boreal_[1.0, 2.0)",0.23327319663699417,0.2869804832771968
8,"boreal_[2.0, 3.0)",0.016081560854239348,0.7214226772779664
9,"boreal_[3.0, 6.0)",-0.08335249654841176,0.16109191323659042
10,"boreal_[6.0, 12.0)",-0.07888169767628316,0.3095076508239987
11,"boreal_[12.0, 18.0)",-0.0766389085049691,0.24214340391601538
12,"boreal_[18.0, 24.0)",0.07356777070106923,0.1532108865158646
13,"boreal_[24.0, 48.0)",-0.08404942546263935,0.5207987965613936
14,"equatorial_[1.0, 2.0)",0.16614229195645921,0.12620654638903234
15,"equatorial_[2.0, 3.0)",-0.06980156737172684,0.08936734646357174
16,"equatorial_[3.0, 6.0)",-0.10416842153051359,0.03489945494320892
17,"equatorial_[6.0, 12.0)",0.019531479634440213,0.6604436145012336
18,"equatorial_[12.0, 18.0)",0.010989649575001564,0.8805992494156988
19,"equatorial_[18.0, 24.0)",0.03982230198206062,0.29857758234188414
20,"equatorial_[24.0, 48.0)",-0.06251573424572374,0.5364793905754636
21,"ocean_[1.0, 2.0)",0.5323897171869131,0.45841088019020326
22,"ocean_[2.0, 3.0)",-0.6110315500824514,0.33217423027886017
23,"ocean_[3.0, 6.0)",-0.1869760273534757,0.807573477669094
24,"ocean_[6.0, 12.0)",0.9062141302310041,0.17209384841226916
25,"ocean_[12.0, 18.0)",0.6379462716756116,0.12298847833243119
26,"ocean_[18.0, 24.0)",-0.6744147155408404,0.009990569675065904
27,"ocean_[24.0, 48.0)",-0.604127826116763,0.3536626218366773
28,"polar_[1.0, 2.0)",0.038728319272175654,0.7240957662976728
29,"polar_[2.0, 3.0)",0.06636321552332727,0.2688488181294786
30,"polar_[3.0, 6.0)",-0.1349320804099323,0.5108771593087149
31,"polar_[6.0, 12.0)",0.17582844131433092,0.3644139266125842
32,"polar_[12.0, 18.0)",-0.1078320747780562,0.1805571381835304
33,"polar_[18.0, 24.0)",0.011490049269308623,0.7302226050851742
34,"polar_[24.0, 48.0)",-0.04964587019115705,0.6546751930631338
35,"warm_temperate_[1.0, 2.0)",-0.15957338653590813,0.03634732281570213
36,"warm_temperate_[2.0, 3.0)",-0.12950488120808348,0.04202775016942835
37,"warm_temperate_[3.0, 6.0)",-0.05057015117390157,0.39233168944075647
38,"warm_temperate_[6.0, 12.0)",0.0433015067545956,0.45079454069174496
39,"warm_temperate_[12.0, 18.0)",-0.09254247095610672,0.2600710254109264
40,"warm_temperate_[18.0, 24.0)",-0.07351127009075048,0.2762527569861369
41,"warm_temperate_[24.0, 48.0)",0.4624006532101517,0.0052284669236062654
