,Climate_Zone_Grade,Change_Rate_per_Year,P_Value
0,"arid_[1.0, 2.0)",-0.16408033564931437,0.03087941844062453
1,"arid_[2.0, 3.0)",0.009077151156433854,0.8401151040379014
2,"arid_[3.0, 6.0)",0.053936873412242875,0.5122633788859154
3,"arid_[6.0, 12.0)",0.2594642168209485,0.003506396581614296
4,"arid_[12.0, 18.0)",-0.02001494561401896,0.7668118684638042
5,"arid_[18.0, 24.0)",-0.031993917877574246,0.3452915637293278
6,"arid_[24.0, 48.0)",-0.10638904224872132,0.11755714756357905
7,"boreal_[1.0, 2.0)",0.24731521914176258,0.06939556845215525
8,"boreal_[2.0, 3.0)",0.0956554602682725,0.0519003173572988
9,"boreal_[3.0, 6.0)",-0.043754034332359276,0.5344281489365055
10,"boreal_[6.0, 12.0)",0.04433831330768996,0.6429435976894883
11,"boreal_[12.0, 18.0)",-0.010178191071157344,0.8768651565572805
12,"boreal_[18.0, 24.0)",-0.007765526246346962,0.81694674935464
13,"boreal_[24.0, 48.0)",-0.32561124106786543,0.012711149868241824
14,"equatorial_[1.0, 2.0)",-0.05447671697622579,0.3287844447127088
15,"equatorial_[2.0, 3.0)",0.02605445152090123,0.4147408920189869
16,"equatorial_[3.0, 6.0)",-0.17287483263116718,0.022256370961980753
17,"equatorial_[6.0, 12.0)",0.01516497707563149,0.7602824898628215
18,"equatorial_[12.0, 18.0)",0.05750059498129427,0.3276258213943302
19,"equatorial_[18.0, 24.0)",0.029471339777642144,0.31443926980318376
20,"equatorial_[24.0, 48.0)",0.09916018625192122,0.31579459090568457
21,"ocean_[1.0, 2.0)",-0.8640337978074342,0.14143706131438433
22,"ocean_[2.0, 3.0)",-0.17334692407960156,0.6978655268216293
23,"ocean_[3.0, 6.0)",0.09715829975341476,0.8842050291653868
24,"ocean_[6.0, 12.0)",-1.4106944554736514,0.11337100239260935
25,"ocean_[12.0, 18.0)",0.579216048202379,0.31262638993628894
26,"ocean_[18.0, 24.0)",-0.11089115019690624,0.8807907234650826
27,"ocean_[24.0, 48.0)",1.882591979601798,0.007391339281376041
28,"polar_[1.0, 2.0)",-0.07935701772635081,0.4877682948522446
29,"polar_[2.0, 3.0)",0.011211514271655025,0.8437502150517393
30,"polar_[3.0, 6.0)",-0.026405688523485106,0.805916825684441
31,"polar_[6.0, 12.0)",0.20937107844090735,0.022970819063601135
32,"polar_[12.0, 18.0)",0.07322794731698923,0.3324171182766945
33,"polar_[18.0, 24.0)",-0.023667703287283664,0.4058406220468469
34,"polar_[24.0, 48.0)",-0.1643801304924336,0.08904083428347136
35,"warm_temperate_[1.0, 2.0)",0.16702270288535132,0.014411839769549012
36,"warm_temperate_[2.0, 3.0)",-0.06492818165741128,0.021145594850035126
37,"warm_temperate_[3.0, 6.0)",0.04242502378836539,0.5874878609307561
38,"warm_temperate_[6.0, 12.0)",-0.04566853188143856,0.1046915109892608
39,"warm_temperate_[12.0, 18.0)",-0.04038353190807028,0.41309700829946594
40,"warm_temperate_[18.0, 24.0)",0.07761835039886053,0.005066549770873914
41,"warm_temperate_[24.0, 48.0)",-0.13608583162566001,0.10706495750494245
