,period,Autumn,Autumn
0,"arid_[1.0, 2.0)",0.061462338,0.061462338
1,"arid_[2.0, 3.0)",0.079606961,0.079606961
2,"arid_[3.0, 6.0)",0.187595298,0.187595298
3,"arid_[6.0, 12.0)",0.25170314,0.25170314
4,"arid_[12.0, 18.0)",0.129195695,0.129195695
5,"arid_[18.0, 24.0)",0.086120609,0.086120609
6,"arid_[24.0, 48.0)",0.204315959,0.204315959
7,"boreal_[1.0, 2.0)",0.112742085,0.112742085
8,"boreal_[2.0, 3.0)",0.111415808,0.111415808
9,"boreal_[3.0, 6.0)",0.177133221,0.177133221
10,"boreal_[6.0, 12.0)",0.106499752,0.106499752
11,"boreal_[12.0, 18.0)",0.124861299,0.124861299
12,"boreal_[18.0, 24.0)",0.064058338,0.064058338
13,"boreal_[24.0, 48.0)",0.303289497,0.303289497
14,"equatorial_[1.0, 2.0)",0.092180058,0.092180058
15,"equatorial_[2.0, 3.0)",0.099273735,0.099273735
16,"equatorial_[3.0, 6.0)",0.190016733,0.190016733
17,"equatorial_[6.0, 12.0)",0.227530179,0.227530179
18,"equatorial_[12.0, 18.0)",0.088312314,0.088312314
19,"equatorial_[18.0, 24.0)",0.067501225,0.067501225
20,"equatorial_[24.0, 48.0)",0.235185756,0.235185756
21,"ocean_[1.0, 2.0)",0.05401882,0.05401882
22,"ocean_[2.0, 3.0)",0.096301153,0.096301153
23,"ocean_[3.0, 6.0)",0.222190659,0.222190659
24,"ocean_[6.0, 12.0)",0.180454641,0.180454641
25,"ocean_[12.0, 18.0)",0.099287321,0.099287321
26,"ocean_[18.0, 24.0)",0.079022193,0.079022193
27,"ocean_[24.0, 48.0)",0.268725213,0.268725213
28,"polar_[1.0, 2.0)",0.125679826,0.125679826
29,"polar_[2.0, 3.0)",0.112683706,0.112683706
30,"polar_[3.0, 6.0)",0.175714706,0.175714706
31,"polar_[6.0, 12.0)",0.108228222,0.108228222
32,"polar_[12.0, 18.0)",0.114207691,0.114207691
33,"polar_[18.0, 24.0)",0.0591776,0.0591776
34,"polar_[24.0, 48.0)",0.30430825,0.30430825
35,"warm_temperate_[1.0, 2.0)",0.064554342,0.064554342
36,"warm_temperate_[2.0, 3.0)",0.099033734,0.099033734
37,"warm_temperate_[3.0, 6.0)",0.202602698,0.202602698
38,"warm_temperate_[6.0, 12.0)",0.213476312,0.213476312
39,"warm_temperate_[12.0, 18.0)",0.103378279,0.103378279
40,"warm_temperate_[18.0, 24.0)",0.070189003,0.070189003
41,"warm_temperate_[24.0, 48.0)",0.246765632,0.246765632
