,period,Spring,Spring
0,"arid_[1.0, 2.0)",0.053947846,0.053947846
1,"arid_[2.0, 3.0)",0.0853008,0.0853008
2,"arid_[3.0, 6.0)",0.241387009,0.241387009
3,"arid_[6.0, 12.0)",0.242451577,0.242451577
4,"arid_[12.0, 18.0)",0.127021585,0.127021585
5,"arid_[18.0, 24.0)",0.073410807,0.073410807
6,"arid_[24.0, 48.0)",0.176480377,0.176480377
7,"boreal_[1.0, 2.0)",0.097773442,0.097773442
8,"boreal_[2.0, 3.0)",0.095134414,0.095134414
9,"boreal_[3.0, 6.0)",0.236238597,0.236238597
10,"boreal_[6.0, 12.0)",0.27988626,0.27988626
11,"boreal_[12.0, 18.0)",0.054940618,0.054940618
12,"boreal_[18.0, 24.0)",0.059432042,0.059432042
13,"boreal_[24.0, 48.0)",0.176594627,0.176594627
14,"equatorial_[1.0, 2.0)",0.085334962,0.085334962
15,"equatorial_[2.0, 3.0)",0.124045284,0.124045284
16,"equatorial_[3.0, 6.0)",0.197159639,0.197159639
17,"equatorial_[6.0, 12.0)",0.179437018,0.179437018
18,"equatorial_[12.0, 18.0)",0.094530043,0.094530043
19,"equatorial_[18.0, 24.0)",0.069499983,0.069499983
20,"equatorial_[24.0, 48.0)",0.24999307,0.24999307
21,"ocean_[1.0, 2.0)",0.056472279,0.056472279
22,"ocean_[2.0, 3.0)",0.081769461,0.081769461
23,"ocean_[3.0, 6.0)",0.161735305,0.161735305
24,"ocean_[6.0, 12.0)",0.183562625,0.183562625
25,"ocean_[12.0, 18.0)",0.110202,0.110202
26,"ocean_[18.0, 24.0)",0.061107218,0.061107218
27,"ocean_[24.0, 48.0)",0.345151113,0.345151113
28,"polar_[1.0, 2.0)",0.116229146,0.116229146
29,"polar_[2.0, 3.0)",0.087926769,0.087926769
30,"polar_[3.0, 6.0)",0.161107442,0.161107442
31,"polar_[6.0, 12.0)",0.226143192,0.226143192
32,"polar_[12.0, 18.0)",0.070771257,0.070771257
33,"polar_[18.0, 24.0)",0.079527251,0.079527251
34,"polar_[24.0, 48.0)",0.258294943,0.258294943
35,"warm_temperate_[1.0, 2.0)",0.065343922,0.065343922
36,"warm_temperate_[2.0, 3.0)",0.089314835,0.089314835
37,"warm_temperate_[3.0, 6.0)",0.227005584,0.227005584
38,"warm_temperate_[6.0, 12.0)",0.207055437,0.207055437
39,"warm_temperate_[12.0, 18.0)",0.094709229,0.094709229
40,"warm_temperate_[18.0, 24.0)",0.078870366,0.078870366
41,"warm_temperate_[24.0, 48.0)",0.237700628,0.237700628
