,period,Summer,Summer
0,"arid_[1.0, 2.0)",0.049470089,0.049470089
1,"arid_[2.0, 3.0)",0.070433447,0.070433447
2,"arid_[3.0, 6.0)",0.202629727,0.202629727
3,"arid_[6.0, 12.0)",0.284701572,0.284701572
4,"arid_[12.0, 18.0)",0.141549062,0.141549062
5,"arid_[18.0, 24.0)",0.071501605,0.071501605
6,"arid_[24.0, 48.0)",0.179714498,0.179714498
7,"boreal_[1.0, 2.0)",0.062720331,0.062720331
8,"boreal_[2.0, 3.0)",0.084280451,0.084280451
9,"boreal_[3.0, 6.0)",0.162167497,0.162167497
10,"boreal_[6.0, 12.0)",0.20450054,0.20450054
11,"boreal_[12.0, 18.0)",0.120423506,0.120423506
12,"boreal_[18.0, 24.0)",0.070524347,0.070524347
13,"boreal_[24.0, 48.0)",0.295383329,0.295383329
14,"equatorial_[1.0, 2.0)",0.08275949,0.08275949
15,"equatorial_[2.0, 3.0)",0.087539431,0.087539431
16,"equatorial_[3.0, 6.0)",0.222444034,0.222444034
17,"equatorial_[6.0, 12.0)",0.200949778,0.200949778
18,"equatorial_[12.0, 18.0)",0.100190513,0.100190513
19,"equatorial_[18.0, 24.0)",0.066576375,0.066576375
20,"equatorial_[24.0, 48.0)",0.239540379,0.239540379
21,"ocean_[1.0, 2.0)",0.075170614,0.075170614
22,"ocean_[2.0, 3.0)",0.065719184,0.065719184
23,"ocean_[3.0, 6.0)",0.145808409,0.145808409
24,"ocean_[6.0, 12.0)",0.202310881,0.202310881
25,"ocean_[12.0, 18.0)",0.084965308,0.084965308
26,"ocean_[18.0, 24.0)",0.100321058,0.100321058
27,"ocean_[24.0, 48.0)",0.325704545,0.325704545
28,"polar_[1.0, 2.0)",0.080842136,0.080842136
29,"polar_[2.0, 3.0)",0.088277271,0.088277271
30,"polar_[3.0, 6.0)",0.144428318,0.144428318
31,"polar_[6.0, 12.0)",0.189462949,0.189462949
32,"polar_[12.0, 18.0)",0.141093414,0.141093414
33,"polar_[18.0, 24.0)",0.075408243,0.075408243
34,"polar_[24.0, 48.0)",0.28048767,0.28048767
35,"warm_temperate_[1.0, 2.0)",0.058561819,0.058561819
36,"warm_temperate_[2.0, 3.0)",0.082013328,0.082013328
37,"warm_temperate_[3.0, 6.0)",0.233528641,0.233528641
38,"warm_temperate_[6.0, 12.0)",0.202974666,0.202974666
39,"warm_temperate_[12.0, 18.0)",0.12153449,0.12153449
40,"warm_temperate_[18.0, 24.0)",0.074246906,0.074246906
41,"warm_temperate_[24.0, 48.0)",0.22714015,0.22714015
