,period,Winter,Winter
0,"arid_[1.0, 2.0)",0.078971129,0.078971129
1,"arid_[2.0, 3.0)",0.103258604,0.103258604
2,"arid_[3.0, 6.0)",0.211254344,0.211254344
3,"arid_[6.0, 12.0)",0.223736895,0.223736895
4,"arid_[12.0, 18.0)",0.119041037,0.119041037
5,"arid_[18.0, 24.0)",0.070265432,0.070265432
6,"arid_[24.0, 48.0)",0.193472559,0.193472559
7,"boreal_[1.0, 2.0)",0.122160901,0.122160901
8,"boreal_[2.0, 3.0)",0.11204684,0.11204684
9,"boreal_[3.0, 6.0)",0.230706167,0.230706167
10,"boreal_[6.0, 12.0)",0.156192072,0.156192072
11,"boreal_[12.0, 18.0)",0.069777379,0.069777379
12,"boreal_[18.0, 24.0)",0.072587976,0.072587976
13,"boreal_[24.0, 48.0)",0.236528664,0.236528664
14,"equatorial_[1.0, 2.0)",0.094214904,0.094214904
15,"equatorial_[2.0, 3.0)",0.104640644,0.104640644
16,"equatorial_[3.0, 6.0)",0.198401999,0.198401999
17,"equatorial_[6.0, 12.0)",0.186584263,0.186584263
18,"equatorial_[12.0, 18.0)",0.087790924,0.087790924
19,"equatorial_[18.0, 24.0)",0.071996581,0.071996581
20,"equatorial_[24.0, 48.0)",0.256370685,0.256370685
21,"ocean_[1.0, 2.0)",0.082498315,0.082498315
22,"ocean_[2.0, 3.0)",0.052208588,0.052208588
23,"ocean_[3.0, 6.0)",0.237956343,0.237956343
24,"ocean_[6.0, 12.0)",0.157004693,0.157004693
25,"ocean_[12.0, 18.0)",0.08374278,0.08374278
26,"ocean_[18.0, 24.0)",0.077616814,0.077616814
27,"ocean_[24.0, 48.0)",0.308972466,0.308972466
28,"polar_[1.0, 2.0)",0.121097067,0.121097067
29,"polar_[2.0, 3.0)",0.083091186,0.083091186
30,"polar_[3.0, 6.0)",0.19728419,0.19728419
31,"polar_[6.0, 12.0)",0.164440418,0.164440418
32,"polar_[12.0, 18.0)",0.07813116,0.07813116
33,"polar_[18.0, 24.0)",0.077495279,0.077495279
34,"polar_[24.0, 48.0)",0.278460699,0.278460699
35,"warm_temperate_[1.0, 2.0)",0.092688791,0.092688791
36,"warm_temperate_[2.0, 3.0)",0.099569769,0.099569769
37,"warm_temperate_[3.0, 6.0)",0.228152204,0.228152204
38,"warm_temperate_[6.0, 12.0)",0.17241074,0.17241074
39,"warm_temperate_[12.0, 18.0)",0.088154503,0.088154503
40,"warm_temperate_[18.0, 24.0)",0.070193939,0.070193939
41,"warm_temperate_[24.0, 48.0)",0.248830054,0.248830054
