,Climate_Zone_Grade,Change_Rate_per_Year,P_Value
0,"arid_[1.0, 2.0)",0.22523056265142377,0.0005310849997221015
1,"arid_[2.0, 3.0)",0.2440054156043061,0.00019983059254155243
2,"arid_[3.0, 6.0)",0.39395922758563817,0.00020366199904675608
3,"arid_[6.0, 12.0)",0.05211106582393831,0.6809263550117092
4,"arid_[12.0, 18.0)",-0.1555175521217457,0.07465959354783591
5,"arid_[18.0, 24.0)",-0.24264873216406105,0.012860459717115918
6,"arid_[24.0, 48.0)",-0.5171399873795044,0.00014167661086128316
7,"boreal_[1.0, 2.0)",0.16797740312635684,0.008294599985817422
8,"boreal_[2.0, 3.0)",0.12128151155858412,0.06178823773534429
9,"boreal_[3.0, 6.0)",0.07942800726052808,0.17721365057218766
10,"boreal_[6.0, 12.0)",-0.21193443060710493,0.0019735166677287653
11,"boreal_[12.0, 18.0)",-0.11573778333006102,0.009963671548748512
12,"boreal_[18.0, 24.0)",0.0035717167371330984,0.9310781536803512
13,"boreal_[24.0, 48.0)",-0.0445864247454391,0.7294654405373511
14,"equatorial_[1.0, 2.0)",0.24759541090881887,0.00016141000310069905
15,"equatorial_[2.0, 3.0)",0.2009156655483778,0.00790815661259037
16,"equatorial_[3.0, 6.0)",-0.08971427378680862,0.1863176964962869
17,"equatorial_[6.0, 12.0)",-0.09419673752032731,0.09638281049324736
18,"equatorial_[12.0, 18.0)",-0.09297833042746181,0.08075168793050241
19,"equatorial_[18.0, 24.0)",0.02914861529475345,0.273514915358442
20,"equatorial_[24.0, 48.0)",-0.20077035001735566,0.028552005588954096
21,"ocean_[1.0, 2.0)",0.5745008301766241,0.06751167303484866
22,"ocean_[2.0, 3.0)",0.7658683838501618,0.0008002924066215986
23,"ocean_[3.0, 6.0)",0.01381030577467697,0.9736581241149957
24,"ocean_[6.0, 12.0)",-0.14205076157913532,0.7952281266609134
25,"ocean_[12.0, 18.0)",-0.391393332169351,0.30935106477232843
26,"ocean_[18.0, 24.0)",-0.32248221320422654,0.48726513242074454
27,"ocean_[24.0, 48.0)",-0.49825321284875207,0.40392173554463273
28,"polar_[1.0, 2.0)",-0.23373419051189215,0.10687237662716052
29,"polar_[2.0, 3.0)",0.006572264102932494,0.925878743405324
30,"polar_[3.0, 6.0)",0.16547060918135104,0.1947494742677428
31,"polar_[6.0, 12.0)",-0.1381105923516351,0.08065360509664779
32,"polar_[12.0, 18.0)",-0.27345993167680016,0.03535322948925942
33,"polar_[18.0, 24.0)",0.09567953711967603,0.2973695586900046
34,"polar_[24.0, 48.0)",0.3775823041363657,0.0006155626299768259
35,"warm_temperate_[1.0, 2.0)",0.33521913228755806,0.00018220546721212753
36,"warm_temperate_[2.0, 3.0)",0.05446779820962684,0.3164297690098649
37,"warm_temperate_[3.0, 6.0)",0.2377861277147394,0.01279422449834867
38,"warm_temperate_[6.0, 12.0)",-0.08773717336640792,0.1456265467114053
39,"warm_temperate_[12.0, 18.0)",-0.2088387425497845,0.022400215591602907
40,"warm_temperate_[18.0, 24.0)",-0.06381060718551267,0.21453172415514787
41,"warm_temperate_[24.0, 48.0)",-0.2670865351102222,0.021876610601867925
