time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,4321,1716,1,111,0.21596171057239583
2002-2011,2002,2011,51398,4265,1630,1,176,0.342425775321997
2003-2012,2003,2012,51398,4072,1578,1,167,0.32491536635666757
2004-2013,2004,2013,51398,4309,1682,0,0,0.0
2005-2014,2005,2014,51398,4447,1680,1,109,0.2120705085801004
2006-2015,2006,2015,51398,4812,1697,1,153,0.2976769524105996
2007-2016,2007,2016,51398,5062,1729,0,0,0.0
2008-2017,2008,2017,51398,5094,1707,1,135,0.26265613447994085
2009-2018,2009,2018,51398,5012,1681,2,311,0.6050819098019378
2010-2019,2010,2019,51398,4937,1699,1,116,0.22568971555313438
2011-2020,2011,2020,51398,5041,1675,0,0,0.0
