time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,3316,1515,0,0,0.0
2002-2011,2002,2011,51398,3366,1457,0,0,0.0
2003-2012,2003,2012,51398,3633,1408,1,129,0.2509825285030546
2004-2013,2004,2013,51398,3253,1451,0,0,0.0
2005-2014,2005,2014,51398,3219,1379,0,0,0.0
2006-2015,2006,2015,51398,3169,1408,0,0,0.0
2007-2016,2007,2016,51398,3255,1431,0,0,0.0
2008-2017,2008,2017,51398,3390,1434,0,0,0.0
2009-2018,2009,2018,51398,3457,1480,0,0,0.0
2010-2019,2010,2019,51398,3230,1435,0,0,0.0
2011-2020,2011,2020,51398,3346,1447,0,0,0.0
