,2001-2010,2002-2011,2003-2012,2004-2013,2005-2014,2006-2015,2007-2016,2008-2017,2009-2018,2010-2019,2011-2020
GID_1,102,0,0,0,0,0,0,0,0,0,0
GID_2,127,199,137,191,177,122,119,0,0,0,0
GID_3,130,118,272,349,430,248,219,154,182,217,168
GID_4,237,263,271,324,183,0,0,0,0,0,0
GID_5,202,376,0,0,0,0,0,0,0,0,0
GID_6,168,0,0,0,0,0,0,0,0,0,0
GID_7,0,161,165,259,210,141,117,108,102,106,115
GID_8,0,190,271,254,136,116,0,0,0,0,0
GID_9,0,113,0,0,0,0,0,0,0,0,0
GID_10,0,206,0,0,0,0,0,0,0,0,0
GID_11,0,187,167,186,156,261,334,156,330,201,206
GID_12,0,124,135,150,0,0,0,0,0,0,0
GID_13,0,0,111,108,0,0,0,0,0,0,0
GID_14,0,0,0,124,0,0,0,0,0,0,0
GID_15,0,0,0,222,168,267,244,205,389,426,443
GID_16,0,0,0,131,170,0,0,0,0,0,0
GID_17,0,0,0,0,127,0,0,0,0,0,0
GID_18,0,0,0,0,126,0,0,0,0,0,0
GID_19,0,0,0,0,168,0,0,0,0,0,0
GID_20,0,0,0,0,120,0,0,0,0,0,0
GID_21,0,0,0,0,0,0,154,0,0,0,0
GID_22,0,0,0,0,0,0,103,142,0,0,0
GID_23,0,0,0,0,0,0,167,188,201,165,112
GID_24,0,0,0,0,0,0,222,0,0,0,0
GID_25,0,0,0,0,0,0,120,130,0,0,0
GID_26,0,0,0,0,0,0,0,144,0,0,0
GID_27,0,0,0,0,0,0,0,148,0,0,0
GID_28,0,0,0,0,0,0,0,149,138,0,0
GID_29,0,0,0,0,0,0,0,0,122,0,0
GID_30,0,0,0,0,0,0,0,0,0,140,123
GID_31,0,0,0,0,0,0,0,0,0,253,224
GID_32,0,0,0,0,0,0,0,0,0,111,0
GID_33,0,0,0,0,0,0,0,0,0,103,109
GID_34,0,0,0,0,0,0,0,0,0,0,128
GID_35,0,0,0,0,0,0,0,0,0,0,195
GID_36,0,0,0,0,0,0,0,0,0,0,103
GID_37,0,0,0,0,0,0,0,0,0,0,212
