global_cluster_id,time_span,first_window,last_window,total_pixels,n_local_clusters,time_windows
1,11,2001-2010,2011-2020,7723,19,2001-2010; 2002-2011; 2003-2012; 2004-2013; 2005-2014; 2006-2015; 2007-2016; 2008-2017; 2009-2018; 2010-2019; 2011-2020
2,11,2001-2010,2011-2020,3201,19,2001-2010; 2002-2011; 2003-2012; 2004-2013; 2005-2014; 2006-2015; 2007-2016; 2008-2017; 2009-2018; 2010-2019; 2011-2020
3,2,2001-2010,2002-2011,227,2,2001-2010; 2002-2011
4,6,2001-2010,2006-2015,1866,7,2001-2010; 2002-2011; 2003-2012; 2004-2013; 2005-2014; 2006-2015
5,2,2001-2010,2002-2011,315,2,2001-2010; 2002-2011
6,6,2001-2010,2006-2015,1972,7,2001-2010; 2002-2011; 2003-2012; 2004-2013; 2005-2014; 2006-2015
7,2,2001-2010,2002-2011,242,2,2001-2010; 2002-2011
8,2,2001-2010,2002-2011,428,2,2001-2010; 2002-2011
9,10,2002-2011,2011-2020,2261,12,2002-2011; 2003-2012; 2004-2013; 2005-2014; 2006-2015; 2007-2016; 2008-2017; 2009-2018; 2010-2019; 2011-2020
10,1,2002-2011,2002-2011,119,1,2002-2011
11,1,2002-2011,2002-2011,197,1,2002-2011
12,1,2003-2012,2003-2012,103,1,2003-2012
13,9,2003-2012,2011-2020,2512,11,2003-2012; 2004-2013; 2005-2014; 2006-2015; 2007-2016; 2008-2017; 2009-2018; 2010-2019; 2011-2020
14,2,2004-2013,2005-2014,274,2,2004-2013; 2005-2014
15,1,2006-2015,2006-2015,134,1,2006-2015
16,6,2006-2015,2011-2020,1128,6,2006-2015; 2007-2016; 2008-2017; 2009-2018; 2010-2019; 2011-2020
17,1,2007-2016,2007-2016,107,1,2007-2016
18,5,2007-2016,2011-2020,2020,6,2007-2016; 2008-2017; 2009-2018; 2010-2019; 2011-2020
19,2,2007-2016,2008-2017,348,2,2007-2016; 2008-2017
20,4,2008-2017,2011-2020,545,4,2008-2017; 2009-2018; 2010-2019; 2011-2020
21,1,2009-2018,2009-2018,121,1,2009-2018
22,1,2010-2019,2010-2019,106,1,2010-2019
23,1,2010-2019,2010-2019,173,1,2010-2019
24,2,2010-2019,2011-2020,529,2,2010-2019; 2011-2020
25,1,2010-2019,2010-2019,107,1,2010-2019
