,2001-2010,2002-2011,2003-2012,2004-2013,2005-2014,2006-2015,2007-2016,2008-2017,2009-2018,2010-2019,2011-2020
GID_1,358,271,198,343,246,282,213,198,151,0,0
GID_2,286,379,0,0,0,0,0,0,0,0,0
GID_3,115,136,135,206,130,0,0,0,0,0,0
GID_4,124,264,207,239,145,0,0,0,0,0,0
GID_5,550,664,576,585,526,384,406,561,623,480,429
GID_6,117,0,0,0,0,0,0,0,0,0,0
GID_7,294,124,189,219,537,462,617,392,594,592,687
GID_8,0,110,0,0,0,0,0,0,0,0,0
GID_9,0,108,101,125,117,112,235,0,0,0,0
GID_10,0,143,130,241,254,0,0,0,0,0,0
GID_11,0,0,133,0,0,0,0,0,0,0,0
GID_12,0,0,0,292,288,365,350,451,335,387,150
GID_13,0,0,0,0,140,222,108,217,129,255,111
GID_14,0,0,0,0,216,302,224,0,0,0,0
GID_15,0,0,0,0,0,0,123,0,0,0,0
GID_16,0,0,0,0,0,0,111,168,0,0,0
GID_17,0,0,0,0,0,0,125,0,0,0,0
GID_18,0,0,0,0,0,0,0,0,162,0,0
GID_19,0,0,0,0,0,0,0,0,0,122,0
GID_20,0,0,0,0,0,0,0,0,0,101,105
GID_21,0,0,0,0,0,0,0,0,0,0,160
GID_22,0,0,0,0,0,0,0,0,0,0,110
GID_23,0,0,0,0,0,0,0,0,0,0,179
