time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,8803,2386,8,1844,3.5876882368963776
2002-2011,2002,2011,51398,10246,2384,9,2199,4.278376590528814
2003-2012,2003,2012,51398,9264,2340,8,1669,3.247208062570528
2004-2013,2004,2013,51398,10194,2361,9,2250,4.377602241332347
2005-2014,2005,2014,51398,10503,2350,15,2599,5.056616988987899
2006-2015,2006,2015,51398,9882,2397,8,2129,4.142184520798475
2007-2016,2007,2016,51398,10007,2397,12,2512,4.887349702323047
2008-2017,2008,2017,51398,9552,2414,10,1987,3.8659091793454996
2009-2018,2009,2018,51398,9890,2378,9,1994,3.8795283863185337
2010-2019,2010,2019,51398,9480,2415,10,1937,3.768629129538114
2011-2020,2011,2020,51398,9491,2359,10,1931,3.7569555235612277
