global_cluster_id,time_span,first_window,last_window,total_pixels,n_local_clusters,time_windows
1,1,2001-2010,2001-2010,120,1,2001-2010
2,11,2001-2010,2011-2020,5176,29,2001-2010; 2002-2011; 2003-2012; 2004-2013; 2005-2014; 2006-2015; 2007-2016; 2008-2017; 2009-2018; 2010-2019; 2011-2020
3,1,2001-2010,2001-2010,166,1,2001-2010
4,2,2001-2010,2002-2011,540,2,2001-2010; 2002-2011
5,11,2001-2010,2011-2020,5853,29,2001-2010; 2002-2011; 2003-2012; 2004-2013; 2005-2014; 2006-2015; 2007-2016; 2008-2017; 2009-2018; 2010-2019; 2011-2020
6,3,2001-2010,2003-2012,867,4,2001-2010; 2002-2011; 2003-2012
7,1,2001-2010,2001-2010,131,1,2001-2010
8,4,2001-2010,2004-2013,1145,5,2001-2010; 2002-2011; 2003-2012; 2004-2013
9,11,2001-2010,2011-2020,6666,32,2001-2010; 2002-2011; 2003-2012; 2004-2013; 2005-2014; 2006-2015; 2007-2016; 2008-2017; 2009-2018; 2010-2019; 2011-2020
10,11,2001-2010,2011-2020,15742,52,2001-2010; 2002-2011; 2003-2012; 2004-2013; 2005-2014; 2006-2015; 2007-2016; 2008-2017; 2009-2018; 2010-2019; 2011-2020
11,2,2001-2010,2002-2011,454,2,2001-2010; 2002-2011
12,1,2001-2010,2001-2010,133,1,2001-2010
13,1,2001-2010,2001-2010,239,1,2001-2010
14,2,2001-2010,2002-2011,472,2,2001-2010; 2002-2011
15,6,2001-2010,2006-2015,1012,6,2001-2010; 2002-2011; 2003-2012; 2004-2013; 2005-2014; 2006-2015
16,11,2001-2010,2011-2020,7131,28,2001-2010; 2002-2011; 2003-2012; 2004-2013; 2005-2014; 2006-2015; 2007-2016; 2008-2017; 2009-2018; 2010-2019; 2011-2020
17,8,2001-2010,2008-2017,2411,9,2001-2010; 2002-2011; 2003-2012; 2004-2013; 2005-2014; 2006-2015; 2007-2016; 2008-2017
18,1,2002-2011,2002-2011,102,1,2002-2011
19,1,2002-2011,2002-2011,125,1,2002-2011
20,1,2002-2011,2002-2011,141,1,2002-2011
21,1,2003-2012,2003-2012,104,1,2003-2012
22,1,2004-2013,2004-2013,117,1,2004-2013
23,1,2004-2013,2004-2013,115,1,2004-2013
24,1,2004-2013,2004-2013,109,1,2004-2013
25,3,2005-2014,2007-2016,350,3,2005-2014; 2006-2015; 2007-2016
26,1,2005-2014,2005-2014,138,1,2005-2014
27,2,2006-2015,2007-2016,326,2,2006-2015; 2007-2016
28,2,2006-2015,2007-2016,256,2,2006-2015; 2007-2016
29,4,2008-2017,2011-2020,650,4,2008-2017; 2009-2018; 2010-2019; 2011-2020
30,1,2008-2017,2008-2017,127,1,2008-2017
31,1,2008-2017,2008-2017,135,1,2008-2017
32,3,2009-2018,2011-2020,382,3,2009-2018; 2010-2019; 2011-2020
33,1,2009-2018,2009-2018,116,1,2009-2018
34,2,2009-2018,2010-2019,222,2,2009-2018; 2010-2019
35,1,2010-2019,2010-2019,178,1,2010-2019
36,2,2010-2019,2011-2020,239,2,2010-2019; 2011-2020
37,1,2010-2019,2010-2019,101,1,2010-2019
38,1,2010-2019,2010-2019,115,1,2010-2019
39,2,2010-2019,2011-2020,302,2,2010-2019; 2011-2020
40,1,2011-2020,2011-2020,113,1,2011-2020
41,1,2011-2020,2011-2020,103,1,2011-2020
42,1,2011-2020,2011-2020,108,1,2011-2020
