window_a,cluster_a,window_b,cluster_b
2001-2010,135,2002-2011,162
2001-2010,306,2002-2011,259
2001-2010,306,2002-2011,343
2001-2010,371,2002-2011,162
2001-2010,371,2002-2011,464
2001-2010,371,2002-2011,514
2001-2010,446,2002-2011,506
2001-2010,616,2002-2011,702
2001-2010,616,2002-2011,766
2001-2010,655,2002-2011,702
2001-2010,908,2002-2011,1002
2001-2010,908,2002-2011,1173
2001-2010,940,2002-2011,881
2001-2010,940,2002-2011,1181
2001-2010,1058,2002-2011,1199
2001-2010,1160,2002-2011,1267
2001-2010,1294,2002-2011,1365
2001-2010,1372,2002-2011,1267
2001-2010,1372,2002-2011,1563
2001-2010,1376,2002-2011,1424
2001-2010,1498,2002-2011,1563
2002-2011,162,2003-2012,150
2002-2011,162,2003-2012,402
2002-2011,259,2003-2012,358
2002-2011,343,2003-2012,358
2002-2011,464,2003-2012,402
2002-2011,506,2003-2012,468
2002-2011,514,2003-2012,402
2002-2011,702,2003-2012,713
2002-2011,702,2003-2012,753
2002-2011,766,2003-2012,713
2002-2011,1002,2003-2012,1012
2002-2011,1173,2003-2012,1012
2002-2011,1199,2003-2012,1012
2002-2011,1267,2003-2012,1304
2002-2011,1267,2003-2012,1466
2002-2011,1365,2003-2012,1365
2002-2011,1424,2003-2012,1439
2002-2011,1563,2003-2012,1466
2003-2012,358,2004-2013,397
2003-2012,468,2004-2013,514
2003-2012,713,2004-2013,775
2003-2012,1012,2004-2013,1105
2003-2012,1304,2004-2013,1502
2003-2012,1466,2004-2013,1502
2004-2013,397,2005-2014,384
2004-2013,775,2005-2014,742
2004-2013,775,2005-2014,848
2004-2013,1105,2005-2014,1216
2004-2013,1502,2005-2014,1383
2004-2013,1502,2005-2014,1569
2005-2014,384,2006-2015,419
2005-2014,459,2006-2015,422
2005-2014,555,2006-2015,422
2005-2014,742,2006-2015,680
2005-2014,742,2006-2015,754
2005-2014,848,2006-2015,754
2005-2014,930,2006-2015,885
2005-2014,1216,2006-2015,1167
2005-2014,1383,2006-2015,1363
2005-2014,1569,2006-2015,1363
2006-2015,422,2007-2016,417
2006-2015,680,2007-2016,695
2006-2015,754,2007-2016,777
2006-2015,802,2007-2016,826
2006-2015,1141,2007-2016,1179
2006-2015,1167,2007-2016,1057
2006-2015,1284,2007-2016,1340
2006-2015,1363,2007-2016,1421
2007-2016,232,2008-2017,143
2007-2016,232,2008-2017,192
2007-2016,417,2008-2017,397
2007-2016,417,2008-2017,508
2007-2016,517,2008-2017,484
2007-2016,517,2008-2017,508
2007-2016,534,2008-2017,508
2007-2016,695,2008-2017,666
2007-2016,695,2008-2017,763
2007-2016,777,2008-2017,763
2007-2016,826,2008-2017,720
2007-2016,928,2008-2017,868
2007-2016,1057,2008-2017,966
2007-2016,1179,2008-2017,1122
2007-2016,1256,2008-2017,868
2007-2016,1256,2008-2017,966
2007-2016,1340,2008-2017,1245
2007-2016,1360,2008-2017,1248
2007-2016,1360,2008-2017,1349
2007-2016,1421,2008-2017,1301
2008-2017,143,2009-2018,139
2008-2017,397,2009-2018,372
2008-2017,397,2009-2018,403
2008-2017,666,2009-2018,671
2008-2017,720,2009-2018,852
2008-2017,763,2009-2018,671
2008-2017,763,2009-2018,838
2008-2017,868,2009-2018,943
2008-2017,868,2009-2018,1039
2008-2017,966,2009-2018,990
2008-2017,966,2009-2018,1039
2008-2017,1006,2009-2018,993
2008-2017,1245,2009-2018,1290
2008-2017,1248,2009-2018,1301
2008-2017,1301,2009-2018,1390
2008-2017,1349,2009-2018,1301
2009-2018,139,2010-2019,161
2009-2018,372,2010-2019,236
2009-2018,403,2010-2019,236
2009-2018,671,2010-2019,688
2009-2018,671,2010-2019,839
2009-2018,838,2010-2019,839
2009-2018,852,2010-2019,891
2009-2018,943,2010-2019,1047
2009-2018,990,2010-2019,1047
2009-2018,990,2010-2019,1051
2009-2018,1039,2010-2019,1047
2009-2018,1290,2010-2019,1358
2009-2018,1301,2010-2019,1183
2009-2018,1301,2010-2019,1403
2010-2019,161,2011-2020,146
2010-2019,236,2011-2020,146
2010-2019,236,2011-2020,309
2010-2019,688,2011-2020,633
2010-2019,839,2011-2020,633
2010-2019,891,2011-2020,877
2010-2019,1047,2011-2020,953
2010-2019,1051,2011-2020,953
2010-2019,1183,2011-2020,1043
2010-2019,1183,2011-2020,1304
2010-2019,1204,2011-2020,1249
2010-2019,1358,2011-2020,1241
2010-2019,1403,2011-2020,1304
2010-2019,1561,2011-2020,1654
