global_cluster_id,time_span,first_window,last_window,total_pixels,n_local_clusters,time_windows
1,2,2001-2010,2002-2011,244,2,2001-2010; 2002-2011
2,5,2001-2010,2005-2014,1227,5,2001-2010; 2002-2011; 2003-2012; 2004-2013; 2005-2014
3,2,2001-2010,2002-2011,252,2,2001-2010; 2002-2011
4,1,2001-2010,2001-2010,118,1,2001-2010
5,5,2001-2010,2005-2014,1693,6,2001-2010; 2002-2011; 2003-2012; 2004-2013; 2005-2014
6,11,2001-2010,2011-2020,4597,19,2001-2010; 2002-2011; 2003-2012; 2004-2013; 2005-2014; 2006-2015; 2007-2016; 2008-2017; 2009-2018; 2010-2019; 2011-2020
7,1,2001-2010,2001-2010,146,1,2001-2010
8,11,2001-2010,2011-2020,25399,46,2001-2010; 2002-2011; 2003-2012; 2004-2013; 2005-2014; 2006-2015; 2007-2016; 2008-2017; 2009-2018; 2010-2019; 2011-2020
9,11,2001-2010,2011-2020,10300,38,2001-2010; 2002-2011; 2003-2012; 2004-2013; 2005-2014; 2006-2015; 2007-2016; 2008-2017; 2009-2018; 2010-2019; 2011-2020
10,3,2001-2010,2003-2012,752,3,2001-2010; 2002-2011; 2003-2012
11,1,2002-2011,2002-2011,105,1,2002-2011
12,2,2002-2011,2003-2012,435,2,2002-2011; 2003-2012
13,1,2002-2011,2002-2011,122,1,2002-2011
14,1,2002-2011,2002-2011,103,1,2002-2011
15,3,2004-2013,2006-2015,388,3,2004-2013; 2005-2014; 2006-2015
16,2,2004-2013,2005-2014,448,3,2004-2013; 2005-2014
17,6,2004-2013,2009-2018,1125,7,2004-2013; 2005-2014; 2006-2015; 2007-2016; 2008-2017; 2009-2018
18,1,2005-2014,2005-2014,119,1,2005-2014
19,1,2005-2014,2005-2014,104,1,2005-2014
20,4,2005-2014,2008-2017,539,4,2005-2014; 2006-2015; 2007-2016; 2008-2017
21,1,2005-2014,2005-2014,116,1,2005-2014
22,2,2005-2014,2006-2015,364,2,2005-2014; 2006-2015
23,6,2006-2015,2011-2020,3076,16,2006-2015; 2007-2016; 2008-2017; 2009-2018; 2010-2019; 2011-2020
24,1,2006-2015,2006-2015,121,1,2006-2015
25,3,2007-2016,2009-2018,419,3,2007-2016; 2008-2017; 2009-2018
26,1,2008-2017,2008-2017,109,1,2008-2017
27,1,2008-2017,2008-2017,112,1,2008-2017
28,1,2008-2017,2008-2017,119,1,2008-2017
29,1,2009-2018,2009-2018,106,1,2009-2018
30,1,2009-2018,2009-2018,254,1,2009-2018
31,1,2009-2018,2009-2018,102,1,2009-2018
32,3,2009-2018,2011-2020,407,3,2009-2018; 2010-2019; 2011-2020
33,1,2010-2019,2010-2019,152,1,2010-2019
34,2,2010-2019,2011-2020,575,3,2010-2019; 2011-2020
35,2,2010-2019,2011-2020,273,2,2010-2019; 2011-2020
36,1,2010-2019,2010-2019,106,1,2010-2019
37,2,2010-2019,2011-2020,242,2,2010-2019; 2011-2020
38,2,2010-2019,2011-2020,371,3,2010-2019; 2011-2020
39,1,2011-2020,2011-2020,115,1,2011-2020
40,1,2011-2020,2011-2020,127,1,2011-2020
41,1,2011-2020,2011-2020,145,1,2011-2020
42,1,2011-2020,2011-2020,102,1,2011-2020
