window_a,cluster_a,window_b,cluster_b
2001-2010,39,2002-2011,31
2001-2010,124,2002-2011,104
2001-2010,151,2002-2011,129
2001-2010,199,2002-2011,129
2001-2010,199,2002-2011,197
2001-2010,1249,2002-2011,1193
2001-2010,1585,2002-2011,1553
2002-2011,31,2003-2012,38
2002-2011,57,2003-2012,105
2002-2011,104,2003-2012,161
2002-2011,186,2003-2012,161
2002-2011,197,2003-2012,244
2002-2011,1470,2003-2012,1444
2002-2011,1553,2003-2012,1532
2003-2012,38,2004-2013,38
2003-2012,38,2004-2013,151
2003-2012,105,2004-2013,93
2003-2012,244,2004-2013,240
2003-2012,1444,2004-2013,1492
2003-2012,1532,2004-2013,1672
2003-2012,1559,2004-2013,1492
2003-2012,1831,2004-2013,1939
2004-2013,38,2005-2014,43
2004-2013,38,2005-2014,120
2004-2013,93,2005-2014,43
2004-2013,93,2005-2014,108
2004-2013,93,2005-2014,120
2004-2013,151,2005-2014,120
2004-2013,240,2005-2014,276
2004-2013,1672,2005-2014,1673
2005-2014,43,2006-2015,45
2005-2014,54,2006-2015,95
2005-2014,108,2006-2015,45
2005-2014,108,2006-2015,95
2005-2014,118,2006-2015,117
2005-2014,120,2006-2015,45
2005-2014,276,2006-2015,239
2006-2015,45,2007-2016,52
2006-2015,45,2007-2016,126
2006-2015,95,2007-2016,126
2006-2015,117,2007-2016,130
2006-2015,1500,2007-2016,1492
2007-2016,52,2008-2017,45
2007-2016,126,2008-2017,45
2008-2017,39,2009-2018,24
2008-2017,45,2009-2018,40
2008-2017,45,2009-2018,127
2008-2017,1671,2009-2018,1476
2009-2018,40,2010-2019,58
2009-2018,127,2010-2019,58
2009-2018,129,2010-2019,149
2009-2018,1108,2010-2019,1168
2009-2018,1476,2010-2019,1298
2010-2019,58,2011-2020,44
2010-2019,58,2011-2020,117
2010-2019,149,2011-2020,114
2010-2019,149,2011-2020,245
2010-2019,1298,2011-2020,1526
2010-2019,1498,2011-2020,1561
2010-2019,1584,2011-2020,1561
