window_a,cluster_a,window_b,cluster_b
2001-2010,700,2002-2011,759
2001-2010,767,2002-2011,767
2002-2011,759,2003-2012,797
2002-2011,767,2003-2012,772
2002-2011,1225,2003-2012,1149
2003-2012,772,2004-2013,823
2003-2012,797,2004-2013,851
2003-2012,1149,2004-2013,1172
2004-2013,823,2005-2014,794
2004-2013,851,2005-2014,830
2004-2013,1172,2005-2014,1168
2005-2014,794,2006-2015,830
2005-2014,1168,2006-2015,1247
2006-2015,830,2007-2016,797
2007-2016,797,2008-2017,823
2008-2017,823,2009-2018,810
2008-2017,1289,2009-2018,1390
2009-2018,730,2010-2019,724
2009-2018,1390,2010-2019,1507
2010-2019,724,2011-2020,679
