global_cluster_id,time_span,first_window,last_window,total_pixels,n_local_clusters,time_windows
1,5,2001-2010,2005-2014,734,5,2001-2010; 2002-2011; 2003-2012; 2004-2013; 2005-2014
2,9,2001-2010,2009-2018,1505,9,2001-2010; 2002-2011; 2003-2012; 2004-2013; 2005-2014; 2006-2015; 2007-2016; 2008-2017; 2009-2018
3,1,2002-2011,2002-2011,145,1,2002-2011
4,5,2002-2011,2006-2015,919,5,2002-2011; 2003-2012; 2004-2013; 2005-2014; 2006-2015
5,1,2004-2013,2004-2013,193,1,2004-2013
6,1,2005-2014,2005-2014,129,1,2005-2014
7,1,2006-2015,2006-2015,117,1,2006-2015
8,1,2007-2016,2007-2016,155,1,2007-2016
9,1,2008-2017,2008-2017,138,1,2008-2017
10,1,2008-2017,2008-2017,106,1,2008-2017
11,3,2008-2017,2010-2019,489,3,2008-2017; 2009-2018; 2010-2019
12,3,2009-2018,2011-2020,482,3,2009-2018; 2010-2019; 2011-2020
13,1,2011-2020,2011-2020,124,1,2011-2020
