window_a,cluster_a,window_b,cluster_b
2001-2010,19,2002-2011,17
2001-2010,37,2002-2011,34
2001-2010,49,2002-2011,52
2001-2010,49,2002-2011,167
2001-2010,59,2002-2011,34
2001-2010,119,2002-2011,34
2001-2010,188,2002-2011,112
2001-2010,217,2002-2011,196
2001-2010,236,2002-2011,196
2001-2010,864,2002-2011,843
2002-2011,17,2003-2012,25
2002-2011,34,2003-2012,33
2002-2011,34,2003-2012,61
2002-2011,52,2003-2012,51
2002-2011,112,2003-2012,176
2002-2011,196,2003-2012,176
2002-2011,196,2003-2012,180
2002-2011,843,2003-2012,851
2003-2012,33,2004-2013,59
2003-2012,51,2004-2013,58
2003-2012,61,2004-2013,59
2003-2012,85,2004-2013,59
2003-2012,176,2004-2013,171
2003-2012,176,2004-2013,282
2003-2012,180,2004-2013,171
2003-2012,851,2004-2013,808
2004-2013,58,2005-2014,53
2004-2013,59,2005-2014,41
2004-2013,59,2005-2014,94
2004-2013,171,2005-2014,178
2004-2013,171,2005-2014,187
2004-2013,282,2005-2014,187
2004-2013,808,2005-2014,861
2005-2014,30,2006-2015,19
2005-2014,41,2006-2015,50
2005-2014,53,2006-2015,61
2005-2014,94,2006-2015,50
2005-2014,178,2006-2015,182
2005-2014,187,2006-2015,182
2006-2015,19,2007-2016,20
2006-2015,50,2007-2016,40
2006-2015,50,2007-2016,80
2006-2015,89,2007-2016,80
2006-2015,182,2007-2016,162
2007-2016,20,2008-2017,21
2007-2016,40,2008-2017,31
2007-2016,40,2008-2017,88
2007-2016,80,2008-2017,88
2007-2016,162,2008-2017,205
2008-2017,21,2009-2018,44
2008-2017,31,2009-2018,37
2008-2017,31,2009-2018,92
2008-2017,88,2009-2018,85
2008-2017,88,2009-2018,92
2008-2017,205,2009-2018,161
2009-2018,37,2010-2019,39
2009-2018,44,2010-2019,21
2009-2018,85,2010-2019,91
2009-2018,92,2010-2019,39
2009-2018,92,2010-2019,121
2009-2018,131,2010-2019,118
2009-2018,161,2010-2019,153
2009-2018,161,2010-2019,168
2010-2019,21,2011-2020,48
2010-2019,39,2011-2020,40
2010-2019,39,2011-2020,116
2010-2019,39,2011-2020,131
2010-2019,91,2011-2020,100
2010-2019,118,2011-2020,102
2010-2019,118,2011-2020,161
2010-2019,121,2011-2020,116
2010-2019,153,2011-2020,48
2010-2019,168,2011-2020,170
2010-2019,168,2011-2020,265
