,2001-2010,2002-2011,2003-2012,2004-2013,2005-2014,2006-2015,2007-2016,2008-2017,2009-2018,2010-2019,2011-2020
GID_1,101,124,130,0,0,0,0,0,0,0,0
GID_2,118,0,0,0,0,0,0,0,0,0,0
GID_3,282,304,350,360,378,336,236,408,410,434,240
GID_4,719,1000,550,328,242,135,618,458,406,299,0
GID_5,108,0,0,0,0,0,0,0,0,0,0
GID_6,280,247,180,683,746,873,824,601,381,143,152
GID_7,112,0,0,0,0,0,0,0,0,0,0
GID_8,102,0,0,0,0,0,0,0,0,0,0
GID_9,304,282,403,317,236,0,0,0,0,0,0
GID_10,149,132,0,0,0,0,0,0,0,0,0
GID_11,0,113,134,160,0,0,0,0,0,0,0
GID_12,0,133,311,311,149,193,295,292,195,330,273
GID_13,0,140,0,0,0,0,0,0,0,0,0
GID_14,0,137,140,155,0,0,0,0,0,0,0
GID_15,0,0,129,0,0,0,0,0,0,0,0
GID_16,0,0,106,0,0,0,0,0,0,0,0
GID_17,0,0,257,181,0,0,0,0,0,0,0
GID_18,0,0,144,128,105,151,186,0,0,0,0
GID_19,0,0,0,101,0,0,0,0,0,0,0
GID_20,0,0,0,142,0,0,0,0,0,0,0
GID_21,0,0,0,111,248,146,195,143,201,193,0
GID_22,0,0,0,0,104,107,102,0,0,0,0
GID_23,0,0,0,0,106,106,0,0,0,0,0
GID_24,0,0,0,0,228,311,281,436,517,410,605
GID_25,0,0,0,0,0,151,0,0,0,0,0
GID_26,0,0,0,0,0,174,0,0,0,0,0
GID_27,0,0,0,0,0,0,139,104,0,0,0
GID_28,0,0,0,0,0,0,193,0,0,0,0
GID_29,0,0,0,0,0,0,123,0,0,0,0
GID_30,0,0,0,0,0,0,107,0,0,0,0
GID_31,0,0,0,0,0,0,0,125,131,110,0
GID_32,0,0,0,0,0,0,0,107,122,0,0
GID_33,0,0,0,0,0,0,0,126,135,0,0
GID_34,0,0,0,0,0,0,0,0,122,345,340
GID_35,0,0,0,0,0,0,0,0,152,102,198
GID_36,0,0,0,0,0,0,0,0,172,180,251
GID_37,0,0,0,0,0,0,0,0,105,0,0
GID_38,0,0,0,0,0,0,0,0,0,108,162
GID_39,0,0,0,0,0,0,0,0,0,119,0
GID_40,0,0,0,0,0,0,0,0,0,121,0
GID_41,0,0,0,0,0,0,0,0,0,0,145
GID_42,0,0,0,0,0,0,0,0,0,0,120
