,2001-2010,2002-2011,2003-2012,2004-2013,2005-2014,2006-2015,2007-2016,2008-2017,2009-2018,2010-2019,2011-2020
GID_1,121,131,0,0,0,0,0,0,0,0,0
GID_2,164,129,103,0,0,0,0,0,0,0,0
GID_3,241,315,280,269,269,0,0,0,0,0,0
GID_4,181,0,0,0,0,0,0,0,0,0,0
GID_5,213,448,351,470,370,397,361,488,601,708,816
GID_6,168,325,502,317,302,332,368,579,391,446,114
GID_7,187,134,0,0,0,0,0,0,0,0,0
GID_8,189,0,0,0,0,0,0,0,0,0,0
GID_9,117,0,0,0,0,0,0,0,0,0,0
GID_10,0,168,206,0,0,0,0,0,0,0,0
GID_11,0,128,102,0,0,0,0,0,0,0,0
GID_12,0,0,158,0,0,0,0,0,0,0,0
GID_13,0,0,125,0,0,0,0,0,0,0,0
GID_14,0,0,138,0,0,0,0,0,0,0,0
GID_15,0,0,0,296,345,0,0,0,0,0,0
GID_16,0,0,0,206,443,491,438,421,420,249,325
GID_17,0,0,0,166,244,0,0,0,0,0,0
GID_18,0,0,0,199,208,225,0,0,0,0,0
GID_19,0,0,0,0,108,141,112,133,129,384,265
GID_20,0,0,0,0,112,131,333,140,173,0,0
GID_21,0,0,0,0,101,0,0,0,0,0,0
GID_22,0,0,0,0,120,0,0,0,0,0,0
GID_23,0,0,0,0,101,185,128,0,0,0,0
GID_24,0,0,0,0,0,102,0,0,0,0,0
GID_25,0,0,0,0,0,114,0,0,0,0,0
GID_26,0,0,0,0,0,0,164,113,0,0,0
GID_27,0,0,0,0,0,0,138,0,0,0,0
GID_28,0,0,0,0,0,0,0,102,0,0,0
GID_29,0,0,0,0,0,0,0,143,216,292,126
GID_30,0,0,0,0,0,0,0,112,102,0,0
GID_31,0,0,0,0,0,0,0,205,479,503,621
GID_32,0,0,0,0,0,0,0,0,112,0,0
GID_33,0,0,0,0,0,0,0,0,105,0,0
GID_34,0,0,0,0,0,0,0,0,0,106,0
GID_35,0,0,0,0,0,0,0,0,0,115,267
GID_36,0,0,0,0,0,0,0,0,0,0,118
