time_window,start_year,end_year,mask_pixels,pixels_in_range,total_clusters,focal_regions,focal_pixels,focal_coverage_pct
2001-2010,2001,2010,51398,9846,2094,9,1581,3.07599517490953
2002-2011,2002,2011,51398,10077,2037,8,1778,3.4592785711506284
2003-2012,2003,2012,51398,9787,2121,10,1965,3.8231059574302497
2004-2013,2004,2013,51398,10250,2091,10,1923,3.741390715592047
2005-2014,2005,2014,51398,10577,2052,14,2723,5.2978715125102145
2006-2015,2006,2015,51398,10158,2080,11,2118,4.12078290984085
2007-2016,2007,2016,51398,10324,2071,13,2042,3.972917234133624
2008-2017,2008,2017,51398,10454,2058,14,2436,4.739484026615822
2009-2018,2009,2018,51398,10688,1996,14,2728,5.307599517490953
2010-2019,2010,2019,51398,10593,1983,12,2803,5.4535195922020305
2011-2020,2011,2020,51398,10512,1986,9,2652,5.159733841783727
