,2001-2010,2002-2011,2003-2012,2004-2013,2005-2014,2006-2015,2007-2016,2008-2017,2009-2018,2010-2019,2011-2020
GID_1,133,182,361,221,448,287,382,445,389,481,419
GID_2,608,606,642,659,568,636,619,529,625,493,439
GID_3,160,162,133,128,155,112,133,123,111,185,144
GID_4,279,218,174,265,0,0,0,0,0,0,0
GID_5,772,738,815,705,884,876,924,828,883,844,956
GID_6,104,0,0,0,0,0,0,0,0,0,0
GID_7,1057,941,735,1016,1214,946,633,724,751,794,270
GID_8,143,0,0,0,0,0,0,0,0,0,0
GID_9,111,0,0,0,0,0,0,0,0,0,0
GID_10,0,145,0,0,0,0,0,0,0,0,0
GID_11,0,0,110,0,0,0,0,0,0,0,0
GID_12,0,0,0,102,0,0,0,0,0,0,0
GID_13,0,0,0,121,0,0,0,0,0,0,0
GID_14,0,0,0,0,113,151,130,0,0,0,0
GID_15,0,0,0,0,0,106,159,127,0,0,0
GID_16,0,0,0,0,0,255,377,321,470,563,487
GID_17,0,0,0,0,0,0,111,223,268,0,0
GID_18,0,0,0,0,0,0,0,104,0,0,0
GID_19,0,0,0,0,0,0,0,139,174,0,0
GID_20,0,0,0,0,0,0,0,168,175,171,216
GID_21,0,0,0,0,0,0,0,107,0,0,0
GID_22,0,0,0,0,0,0,0,0,192,124,279
GID_23,0,0,0,0,0,0,0,0,0,112,120
GID_24,0,0,0,0,0,0,0,0,0,153,150
GID_25,0,0,0,0,0,0,0,0,0,0,133
