,2001-2010,2002-2011,2003-2012,2004-2013,2005-2014,2006-2015,2007-2016,2008-2017,2009-2018,2010-2019,2011-2020
GID_1,718,566,647,599,521,525,465,329,461,520,631
GID_2,276,264,399,341,456,445,263,366,455,332,0
GID_3,767,1027,832,639,716,897,1032,871,1032,1371,1149
GID_4,105,171,114,200,0,0,0,0,0,0,0
GID_5,112,142,0,0,0,0,0,0,0,0,0
GID_6,140,145,107,0,0,0,0,0,0,0,0
GID_7,0,153,0,0,0,0,0,0,0,0,0
GID_8,0,0,0,110,0,0,0,0,0,0,0
GID_9,0,0,0,236,0,0,0,0,0,0,0
GID_10,0,0,0,0,106,0,0,0,0,0,0
GID_11,0,0,0,0,0,140,196,267,191,163,207
GID_12,0,0,0,0,0,219,101,0,0,0,0
GID_13,0,0,0,0,0,124,155,122,212,221,188
GID_14,0,0,0,0,0,104,137,0,0,0,0
GID_15,0,0,0,0,0,185,103,0,0,0,0
GID_16,0,0,0,0,0,0,124,0,0,0,0
GID_17,0,0,0,0,0,0,0,107,186,185,148
GID_18,0,0,0,0,0,0,0,147,0,0,0
GID_19,0,0,0,0,0,0,0,0,129,0,0
GID_20,0,0,0,0,0,0,0,0,107,0,0
GID_21,0,0,0,0,0,0,0,0,117,122,0
GID_22,0,0,0,0,0,0,0,0,0,104,0
