,2001-2010,2002-2011,2003-2012,2004-2013,2005-2014,2006-2015,2007-2016,2008-2017,2009-2018,2010-2019,2011-2020
GID_1,398,450,469,300,185,255,531,374,470,283,253
GID_2,101,0,0,0,0,0,0,0,0,0,0
GID_3,377,308,228,259,0,0,0,0,0,0,0
GID_4,1561,1743,1558,1466,1666,1449,1967,1904,1860,2384,2262
GID_5,634,646,386,301,713,670,530,721,494,396,253
GID_6,217,203,235,0,0,0,0,0,0,0,0
GID_7,137,0,0,0,0,0,0,0,0,0,0
GID_8,660,556,1071,705,315,132,323,346,349,292,377
GID_9,124,0,0,0,0,0,0,0,0,0,0
GID_10,123,0,0,0,0,0,0,0,0,0,0
GID_11,160,0,0,0,0,0,0,0,0,0,0
GID_12,103,0,0,0,0,0,0,0,0,0,0
GID_13,0,0,105,0,0,0,0,0,0,0,0
GID_14,0,0,111,147,106,106,0,0,0,0,0
GID_15,0,0,0,131,0,0,0,0,0,0,0
GID_16,0,0,0,0,113,0,0,0,0,0,0
GID_17,0,0,0,0,134,0,0,0,0,0,0
GID_18,0,0,0,0,162,232,264,144,233,207,784
GID_19,0,0,0,0,0,120,0,0,0,0,0
GID_20,0,0,0,0,0,110,0,0,0,0,0
GID_21,0,0,0,0,0,200,102,0,0,0,0
GID_22,0,0,0,0,0,0,120,124,0,0,0
GID_23,0,0,0,0,0,0,168,0,0,0,0
GID_24,0,0,0,0,0,0,108,0,0,0,0
GID_25,0,0,0,0,0,0,0,116,0,0,0
GID_26,0,0,0,0,0,0,0,103,0,0,0
GID_27,0,0,0,0,0,0,0,122,239,205,278
GID_28,0,0,0,0,0,0,0,0,125,0,0
GID_29,0,0,0,0,0,0,0,0,0,138,256
GID_30,0,0,0,0,0,0,0,0,0,131,0
GID_31,0,0,0,0,0,0,0,0,0,167,125
GID_32,0,0,0,0,0,0,0,0,0,0,182
GID_33,0,0,0,0,0,0,0,0,0,0,117
GID_34,0,0,0,0,0,0,0,0,0,0,177
GID_35,0,0,0,0,0,0,0,0,0,0,154
GID_36,0,0,0,0,0,0,0,0,0,0,111
