,2001-2010,2002-2011,2003-2012,2004-2013,2005-2014,2006-2015,2007-2016,2008-2017,2009-2018,2010-2019,2011-2020
GID_1,307,0,0,0,0,0,0,0,0,0,0
GID_2,222,142,0,0,0,0,0,0,0,0,0
GID_3,128,0,0,0,0,0,0,0,0,0,0
GID_4,333,296,354,312,273,403,463,223,123,141,0
GID_5,240,0,0,0,0,0,0,0,0,0,0
GID_6,259,323,0,0,0,0,0,0,0,0,0
GID_7,944,1248,1046,1057,1237,744,616,707,1122,1052,1340
GID_8,296,487,396,236,0,0,0,0,0,0,0
GID_9,215,0,0,0,0,0,0,0,0,0,0
GID_10,189,143,517,705,1288,1023,1058,778,447,391,707
GID_11,106,0,0,0,0,0,0,0,0,0,0
GID_12,0,109,152,0,0,0,0,0,0,0,0
GID_13,0,0,243,131,304,155,150,0,0,0,0
GID_14,0,0,111,0,0,0,0,0,0,0,0
GID_15,0,0,189,199,106,159,0,0,0,0,0
GID_16,0,0,0,172,0,0,0,0,0,0,0
GID_17,0,0,0,0,134,0,0,0,0,0,0
GID_18,0,0,0,0,150,0,0,0,0,0,0
GID_19,0,0,0,0,0,156,170,113,122,126,182
GID_20,0,0,0,0,0,102,120,102,0,0,0
GID_21,0,0,0,0,0,101,0,0,0,0,0
GID_22,0,0,0,0,0,125,166,146,0,0,0
GID_23,0,0,0,0,0,0,172,168,0,0,0
GID_24,0,0,0,0,0,0,147,156,0,0,0
GID_25,0,0,0,0,0,0,0,162,248,206,329
GID_26,0,0,0,0,0,0,0,103,0,0,0
GID_27,0,0,0,0,0,0,0,0,0,118,140
GID_28,0,0,0,0,0,0,0,0,0,171,260
GID_29,0,0,0,0,0,0,0,0,0,248,315
GID_30,0,0,0,0,0,0,0,0,0,114,183
GID_31,0,0,0,0,0,0,0,0,0,107,0
GID_32,0,0,0,0,0,0,0,0,0,0,111
